,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,3k79jB4aGmMDUQzEwa46Rz,vampire,vampire,Olivia Rodrigo,219724,2023-06-30,0.169,0.511,0.532,0.0,5,0.311,-5.745,1,0.056,137.827,4,0.322,90,1
1,2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Paint The Town Red,Doja Cat,231750,2023-08-04,0.269,0.868,0.538,3.34e-06,5,0.0901,-8.603,1,0.174,99.968,4,0.732,100,1
2,4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,227195,2023-08-25,0.554,0.429,0.453,2e-06,0,0.102,-7.746,1,0.0459,77.639,4,0.155,91,1
3,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Gettin' Old,Luke Combs,265493,2023-03-24,0.186,0.712,0.603,0.0,8,0.115,-5.52,1,0.0262,97.994,4,0.67,89,1
4,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Lover,Taylor Swift,178426,2019-08-23,0.117,0.552,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564,98,1
5,7K3BhSpAxZBznislvUMVtn,Last Night,One Thing At A Time,Morgan Wallen,163854,2023-03-03,0.467,0.492,0.675,0.0,6,0.142,-5.456,1,0.0389,203.759,4,0.478,86,1
6,2i8f4VnnBjy0yDqH2C452a,bad idea right?,bad idea right?,Olivia Rodrigo,184783,2023-08-11,0.00196,0.628,0.878,1.23e-05,9,0.0649,-3.468,1,0.0901,129.976,4,0.796,86,1
7,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SOS,SZA,201800,2022-12-09,0.141,0.559,0.551,0.0,5,0.11,-7.231,1,0.132,143.008,4,0.392,91,1
8,4rXLjWdF2ZZpXCVTfWcshS,fukumean,a Gift & a Curse,Gunna,125040,2023-06-16,0.119,0.847,0.622,0.0,1,0.285,-6.747,0,0.0903,130.001,4,0.22,95,1
9,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,176579,2023-05-25,0.0207,0.671,0.845,0.0,11,0.329,-4.93,0,0.048,110.056,4,0.775,95,1
10,2gyxAWHebV7xPYVxqoi86f,get him back!,GUTS,Olivia Rodrigo,211141,2023-09-08,0.0135,0.546,0.846,0.0,5,0.607,-5.719,1,0.181,162.043,4,0.74,92,1
11,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,239317,2022-08-25,0.382,0.801,0.806,0.000669,11,0.114,-5.206,1,0.0381,106.999,4,0.802,90,1
12,34sOdxWu9FljH84UXdRwu1,all-american bitch,GUTS,Olivia Rodrigo,165833,2023-09-08,0.254,0.43,0.692,4.17e-06,6,0.148,-4.234,1,0.0429,156.261,4,0.401,90,1
13,4YQImHflXSiIMXntcwPkx8,Bongos (feat. Megan Thee Stallion),Bongos (feat. Megan Thee Stallion),Cardi B,175099,2023-09-08,0.0791,0.726,0.738,0.0,0,0.0297,-4.788,1,0.355,121.953,4,0.896,83,1
14,741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,109750,2023-06-23,0.519,0.77,0.58,0.000127,0,0.233,-8.393,1,0.247,144.072,4,0.753,92,1
