,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,39q7xibBdRboeMKUbZEB6g,"Take Me Home, Country Roads","The John Denver Collection, Vol 1: Take Me Home Country Roads",John Denver,197813,1997-06-17,0.546,0.255,0.43,1.87e-05,9,0.188,-12.564,1,0.0322,164.267,4,0.546,2,0
1,0AQquaENerGps8BQmbPw14,Big Iron,Gunfighter Ballads And Trail Songs,Marty Robbins,235733,1959,0.803,0.726,0.474,0.0,1,0.258,-7.834,0,0.0491,116.027,4,0.57,69,0
2,7jWbXvrgdbkajU8L28ahn5,Highwayman,Highwayman,The Highwaymen,182653,1985-05-01,0.48,0.67,0.351,0.0176,2,0.115,-16.842,1,0.0463,101.384,4,0.45,71,0
3,3I1vEQhGwRK7URrTq4BqNl,(Ghost) Riders in the Sky,Silver,Johnny Cash,224813,1979-05-01,0.355,0.572,0.668,0.0379,10,0.223,-9.382,0,0.0361,109.511,4,0.56,63,0
4,4zxjGksj1DYHmEUvGh8UqT,"Theme from ""The Dukes of Hazzard"" (Good Ol' Boys)",Music Man,Waylon Jennings,126786,1980-05-01,0.171,0.631,0.888,0.0433,5,0.146,-8.491,1,0.0375,147.824,4,0.925,57,0
5,1OmKo4t4Bh95xQI6WGiUR3,On the Road Again - Live,Greatest Hits (& Some That Will Be),Willie Nelson,153106,1981-08-21,0.55,0.714,0.724,0.101,4,0.826,-8.488,1,0.042,111.173,4,0.802,49,0
6,0SW6NfA6MTCC6OWNt6SAkV,Dinosaur,Habits Old And New,"Hank Williams, Jr.",199666,1980,0.244,0.614,0.381,4.12e-05,4,0.0917,-14.628,1,0.0441,145.056,4,0.504,66,0
7,1hh3iFX5vVsiD9LMwUlQeh,Dixieland Delight - Single Edit,The Essential Alabama,Alabama,236426,2005-05-17,0.208,0.464,0.405,1.1e-05,7,0.0611,-12.538,1,0.033,95.852,4,0.514,0,0
8,5fdhThPDe6jQQDqCyWrdAn,Jolene,Jolene (Expanded Edition),Dolly Parton,161533,1974,0.566,0.674,0.537,0.0,1,0.131,-10.971,0,0.0363,110.578,4,0.809,73,0
9,1M2a5TNHqmr2zXZZcB7xTe,Love Will Turn You Around,Love Will Turn You Around,Kenny Rogers,221193,1982-06-28,0.226,0.64,0.44,4.43e-06,4,0.122,-15.938,1,0.0295,86.952,4,0.613,52,0
