,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,The Weeknd,230453,2016-11-25,0.141,0.679,0.587,6.35e-06,7,0.137,-7.015,1,0.276,186.003,4,0.486,92,1
1,1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,Drake,173986,2016-05-06,0.00776,0.792,0.625,0.0018,1,0.329,-5.609,1,0.0536,103.967,4,0.37,88,1
2,50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Purpose (Deluxe),Justin Bieber,233720,2015-11-13,0.835,0.609,0.378,0.0,4,0.28,-9.828,1,0.438,100.418,4,0.515,85,1
3,7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,The Chainsmokers,244960,2016-07-29,0.414,0.748,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661,85,1
4,62PaSfnXSMyLshYJrlTuL3,Hello,25,Adele,295502,2015-11-20,0.33,0.578,0.43,0.0,5,0.0854,-6.134,0,0.0305,78.991,4,0.288,74,0
5,5YEOzOojehCqxGQCcQiyR4,Panda,New English,Desiigner,246761,2016-06-26,0.028,0.576,0.766,1.68e-06,10,0.366,-4.943,0,0.449,144.833,4,0.236,70,0
6,3xKsf9qdS1CyvXSMEid6g8,Pink + White,Blonde,Frank Ocean,184516,2016-08-20,0.667,0.545,0.545,5.48e-05,9,0.417,-7.362,1,0.107,159.94,3,0.549,89,1
7,6b3b7lILUJqXcp6w9wNQSm,Cheap Thrills (feat. Sean Paul),Cheap Thrills (feat. Sean Paul),Sia,224813,2016-02-11,0.0561,0.592,0.8,2.01e-06,6,0.0775,-4.931,0,0.215,89.972,4,0.728,68,0
8,3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,Illuminate,Shawn Mendes,187973,2017-04-20,0.106,0.444,0.819,0.0,10,0.107,-4.078,0,0.341,82.695,4,0.747,86,1
9,72TFWvU3wUYdUuxejTTIzt,Work,ANTI (Deluxe),Rihanna,219320,2016-01-28,0.0752,0.725,0.534,0.0,11,0.0919,-6.238,1,0.0946,91.974,4,0.558,78,1
10,0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,Encore,DJ Snake,205946,2016-08-05,0.0863,0.649,0.716,2.63e-05,8,0.135,-5.371,1,0.0349,99.988,4,0.163,84,1
11,09CtPGIpYB4BrO8qb1RGsF,Sorry,Purpose (Deluxe),Justin Bieber,200786,2015-11-13,0.0797,0.654,0.76,0.0,0,0.299,-3.669,0,0.045,99.945,4,0.41,82,1
12,1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),Trolls,237546,2016-09-23,0.0106,0.669,0.832,0.0,0,0.0968,-5.721,1,0.0682,113.035,4,0.7,74,0
13,2Z8WuEywRWYTKe1NybPQEW,Ride,Blurryface,Twenty One Pilots,214506,2015-05-15,0.00835,0.645,0.713,0.0,6,0.113,-5.355,1,0.0393,74.989,4,0.566,84,1
