,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,17i5jLpzndlQhbS4SrTd0B,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Bach: Cello Suites Nos. 1, 5 & 6",Johann Sebastian Bach,152280,1983,0.89,0.275,0.157,0.842,7,0.186,-18.752,1,0.0636,73.289,4,0.304,70,0
1,16AtEuLpkzUg1BLSugpHE6,Gymnopédie No.1,Gymnopédies,Erik Satie,216097,2023-06-16,0.985,0.588,0.0135,0.953,7,0.0913,-26.081,1,0.0453,68.339,3,0.13,55,0
2,1CiQLTserlabm0rYFkfTpn,"2 Arabesques, L. 66: Arabesque No. 1","2 Arabesques, L. 66: Arabesque No. 1",Claude Debussy,255388,2023-03-17,0.994,0.294,0.0736,0.929,9,0.108,-26.905,1,0.0481,127.802,4,0.112,53,0
3,7peGuJtU76TKrTYpwmxGBU,Lagoon of Forgotten Dreams (Laguna de los Sueños Olvidados),Lagoon of Forgotten Dreams (Laguna de los Sueños Olvidados),Julián Fueyo,142444,2023-02-24,0.991,0.342,0.013,0.935,2,0.144,-30.436,0,0.0347,76.632,4,0.0982,54,0
4,5fPJEybjtk8fjQzEEUeSPx,Gnossienne: No. 1 (Arr. for Viola and Harp),Gnossienne: No. 1 (Arr. for Viola and Harp),Carrie Frey,216028,2023-03-31,0.973,0.285,0.0719,0.933,5,0.112,-19.419,0,0.0404,91.804,4,0.0529,51,0
5,3R4Z0U3SgolyJ9s3ynWfGw,"Peer Gynt Suite No. 1, Op. 46: I. Morning Mood",Mythical Horizons,The City of Prague Philharmonic Orchestra,235662,2023-06-29,0.904,0.21,0.122,0.933,4,0.117,-16.105,1,0.0376,70.72,3,0.0397,50,0
6,4CbMEfUdfYlWVPP6zTa5zv,Stairway to Self (Escalera al Interior),Stairway to Self (Escalera al Interior),Julián Fueyo,160169,2023-06-09,0.994,0.419,0.0238,0.959,2,0.0925,-30.621,1,0.0507,130.398,3,0.153,49,0
7,76BfKpZqnuNCZtbN8N3s4C,"Concerto No. 4 in F Minor, Op. 8, RV 297, ""L'inverno"" (Winter): I. Allegro Non Molto",Vivaldi: The Four Seasons,Antonio Vivaldi,211198,2009-07-01,0.861,0.413,0.252,0.768,5,0.0912,-12.611,0,0.0463,146.94,4,0.231,53,0
8,5cBlxWA7KWcApq9rs6YKBq,Romanza (Spanish Romance),An Idea,Andrés Madariaga,151413,2022-10-22,0.972,0.298,0.142,0.831,4,0.107,-18.775,0,0.0454,112.777,4,0.221,51,0
9,4ohUFvRY2eR17Lxq4p0Xrt,"Rêverie, L.68","Rêverie, L.68",Claude Debussy,241286,2023-02-17,0.993,0.36,0.0636,0.946,5,0.106,-26.695,1,0.0506,112.856,4,0.148,50,0
10,46qX7Uy1L7FpXazVSJynWY,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air",The Glory of Bach,Johann Sebastian Bach,218437,2010-03-21,0.874,0.151,0.376,0.836,2,0.0921,-9.789,1,0.0323,83.208,3,0.215,49,0
11,35cWKZdNsSKxrcLz2oPDRm,"Peer Gynt Suite No. 1, Op. 46: IV. In the Hall of the Mountain King",Mythical Horizons,The City of Prague Philharmonic Orchestra,176738,2023-06-29,0.845,0.468,0.155,0.324,11,0.0838,-13.959,0,0.0609,89.456,4,0.352,51,0
12,3gtQ9EUJfwIUW0IWZJrB1d,"Concerto No. 2 in G Minor, Op. 8, RV 315, “L’estate” (Summer): III. Presto",Vivaldi: The Four Seasons,Antonio Vivaldi,166645,2009-07-01,0.92,0.293,0.451,0.83,7,0.0951,-11.308,1,0.0329,145.308,3,0.499,50,0
13,24M5Xk2il3L9NEycnKE3cg,"Peer Gynt Suite No. 1, Op. 46: III. Anitra's Dance",Mythical Horizons,The City of Prague Philharmonic Orchestra,142537,2023-06-29,0.839,0.349,0.195,0.087,4,0.176,-18.65,0,0.04,143.251,3,0.203,45,0
14,4EOSoJQe6HhU1PejD8pr42,"Ouvertüre nach Französischer Art, BWV 831: 8. Echo",Enfleurage,Arseniy Gusev,187158,2023-04-26,0.978,0.514,0.192,0.889,11,0.126,-19.695,0,0.0548,97.211,4,0.938,48,0
15,7ojOWM0Fi35E847JtxoQYn,Gymnopédie No.3,Gymnopédies,Erik Satie,171630,2023-06-16,0.991,0.481,0.0128,0.964,7,0.114,-28.817,1,0.0378,67.499,3,0.135,48,0
16,7DeAFEouNgPA8qHemlSC4W,"Préludes / Book 2, L. 123: 5. Bruyères (Arr. for Harp)",Bruyères,Claude Debussy,194566,2023-05-07,0.993,0.263,0.0443,0.954,8,0.11,-27.027,1,0.0495,133.216,3,0.0411,45,0
17,7di15QVnLaGFP8TZ14GtmK,"Serenade in G Major, K. 525 ""Eine kleine Nachtmusik"": II. Romanze","Mozart: Symphony No. 40, Eine Kleine Nachtmusick & Other Mozart Favorites",Wolfgang Amadeus Mozart,324116,2009-07-16,0.758,0.238,0.0908,0.854,0,0.0782,-16.41,1,0.0452,78.207,4,0.168,14,0
18,262dNfumWroIA8hkBbXtkn,"Lyric Pieces, Book II, Op. 38: No. 7, Waltz",Enfleurage,Arseniy Gusev,74793,2023-04-26,0.995,0.394,0.0132,0.955,4,0.0877,-35.544,0,0.0541,137.743,4,0.253,44,0
19,2mQWMTbWoEmqUVKAkW1Bxv,Méditation from Thaïs (arr. for violin & harp),Rose Garden,Lily Honigberg,294263,2023-06-22,0.914,0.142,0.182,0.0772,4,0.0979,-14.738,0,0.0426,81.565,5,0.0955,42,0
20,4NhuGX3w3HxYEbI1WMmws2,"Two Pieces, Op. 47: 1. Lotus Land","Two Pieces, Op. 47: 1. Lotus Land",Cyril Scott,307411,2023-03-28,0.986,0.384,0.0215,0.948,3,0.105,-26.477,0,0.0469,68.027,3,0.0358,46,0
21,3Oiebo5OzKkc51CIjTKjz6,"Le tombeau de Couperin, M. 68: III. Forlane",Enfleurage,Arseniy Gusev,465279,2023-04-26,0.991,0.424,0.0453,0.943,4,0.132,-31.189,0,0.0341,67.343,4,0.0822,44,0
22,4fCgUwtcBQJycmvgeDU4tn,"La plus que lente, L. 121 (arr. for violin & harp)",Rose Garden,Lily Honigberg,259272,2023-06-22,0.959,0.284,0.177,0.0177,7,0.0785,-14.528,1,0.0454,129.415,5,0.124,46,0
23,0TRCcuh52NGAygNk4bcFtX,"Serenade in G Major, K. 525 ""Eine kleine Nachtmusik"": IV. Rondo (Allegro)","Mozart: Symphony No. 40, Eine Kleine Nachtmusick & Other Mozart Favorites",Wolfgang Amadeus Mozart,207677,2009-07-16,0.921,0.385,0.352,0.852,7,0.326,-11.71,1,0.0305,101.672,4,0.453,12,0
24,7elGa98KXTWCCkvbHVjMs3,"Concerto No. 1 in E Major, Op. 8, RV 269, “La primavera” (Spring) : I. Allegro",Vivaldi: The Four Seasons,Antonio Vivaldi,191544,2009-07-01,0.829,0.478,0.218,0.785,4,0.344,-10.728,1,0.0343,106.773,4,0.313,46,0
25,3Ss4rS0PNDuR6cIRVQRX1h,Morceau de concours,Rose Garden,Lily Honigberg,82449,2023-06-22,0.922,0.192,0.189,0.159,9,0.109,-15.411,1,0.0396,87.171,4,0.193,41,0
26,4tFZ9Tz72TgtjsnuKxHhD3,Act I: Che gelida manina,The Toast of Hollywood,Mario Lanza,299160,2013-08-23,0.97,0.152,0.409,0.000495,8,0.366,-8.019,1,0.0386,57.39,3,0.0855,38,0
27,0U45AuIBSdtlQw9wmyliPv,"Brandenburg Concerto No. 3 in G Major, BWV 1048: I. Allegro Moderato",The Glory of Bach,Johann Sebastian Bach,399431,2010-03-21,0.84,0.414,0.317,0.895,7,0.128,-11.701,1,0.0368,84.458,4,0.444,44,0
28,2r8oNeRBsSlXG6LiNwMbyw,Symphony No. 40 In G Minor I. Allegro K550,Mozart Allegro,Various Artists,426171,2010,0.943,0.348,0.307,0.943,7,0.115,-13.204,0,0.033,114.611,4,0.19,49,0
29,02YsxRqkJjhcbkncKW9qaz,"The Well-Tempered Clavier, Book 1: Prelude in C Major, BWV 846","The Well-Tempered Clavier, Book 1: Prelude in C Major, BWV 846",Johann Sebastian Bach,139245,2023-02-17,0.995,0.37,0.0538,0.936,0,0.0935,-32.321,1,0.0433,126.337,4,0.673,46,0
30,1treoq2Y94f9neI4M86ICo,Gymnopédie No.2,Gymnopédies,Erik Satie,171550,2023-06-16,0.993,0.507,0.00354,0.958,5,0.0976,-32.884,1,0.0463,72.566,3,0.206,44,0
31,7FsksSVGUecef3IeSPEjp9,"Pavane pour une infante défunte, M. 19",Enfleurage,Arseniy Gusev,389177,2023-04-26,0.989,0.438,0.00573,0.953,4,0.0792,-32.085,0,0.0498,102.927,4,0.0931,44,0
32,6dV3seYcDxTrYz8Mwb85gq,"Cantata, BWV 208 ""Sheep May Safely Graze""",The Glory of Bach,Johann Sebastian Bach,187018,2010-03-21,0.949,0.235,0.261,0.504,10,0.113,-13.699,1,0.0438,115.376,4,0.283,42,0
33,2I32YvCQa04JV02VkAwfzz,Trois morceaux pour piano: II. D'un jardin clair,Enfleurage,Arseniy Gusev,140027,2023-04-26,0.981,0.425,0.0127,0.968,11,0.0982,-28.062,1,0.0445,95.725,4,0.087,42,0
34,4sueBN15eHYAQvys4Kfl8T,"Waltz in A-Flat Major, Op. 39 No. 15","16 Waltzes, Op. 39 - No. 15 in A-Flat Major",Johannes Brahms,57246,2023-05-11,0.987,0.385,0.0656,0.951,8,0.103,-24.516,0,0.0626,64.886,3,0.349,45,0
35,2jx4Pfe2kOuvBkI6MTQX1Z,"Beethoven Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio Un Poco Mosso",Mythical Horizons,The City of Prague Philharmonic Orchestra,457156,2023-06-29,0.961,0.209,0.113,0.95,11,0.109,-18.233,1,0.033,88.013,4,0.0693,43,0
36,443XgjmyEKbR8gpB6d3jZX,"Cello Suite No. 3 in C Major, BWV 1009: V. Menuetts I & II",The Glory of Bach,Johann Sebastian Bach,197480,2010-03-21,0.969,0.373,0.146,0.398,7,0.128,-11.861,1,0.0354,74.963,4,0.425,41,0
37,7ebh8dWQvhcRyRsBTKAupx,Preludio No. 5,An Idea,Andrés Madariaga,111330,2022-10-22,0.989,0.615,0.0522,0.885,4,0.0987,-19.609,1,0.0808,109.635,4,0.157,43,0
38,4iUUaHdSFLAFfQIDa6hEFu,"Cantata, BWV 147: Jesu, Joy of Man's Desiring",The Glory of Bach,Johann Sebastian Bach,193449,2010-03-21,0.935,0.155,0.267,0.906,7,0.11,-11.511,1,0.0344,68.273,3,0.196,40,0
39,40iOWrQVqqUXVdHdYq83PA,Emerald Sky (Cielo Esmeralda),Emerald Sky (Cielo Esmeralda),Julián Fueyo,253149,2023-06-28,0.988,0.349,0.0305,0.935,7,0.131,-28.11,1,0.0369,123.935,4,0.136,43,0
40,6Tqamq9lH8Axp5A0R19yRD,"Serenade in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro","Mozart: Symphony No. 40, Eine Kleine Nachtmusick & Other Mozart Favorites",Wolfgang Amadeus Mozart,356249,2009-07-16,0.927,0.499,0.289,0.949,7,0.0815,-10.849,1,0.0373,133.221,4,0.428,17,0
41,24LdPJaZBaAxeXb2oRptZ5,"Lyric Pieces Book V, Op. 54: 4. Notturno",Enfleurage,Arseniy Gusev,226568,2023-04-26,0.97,0.343,0.0587,0.942,0,0.104,-30.079,1,0.0503,68.563,1,0.0435,42,0
42,0gvtmhlBS4wMwDogJrohPf,"Wachet auf, ruft uns die Stimme, BWV 645 ('Sleepers, Awake')",The Glory of Bach,Johann Sebastian Bach,275717,2010-03-21,0.675,0.387,0.0445,0.884,3,0.175,-23.147,1,0.0303,67.45,4,0.184,39,0
43,5RQ1AwwWh8Iyy2czVuKNeG,"Symphony No. 40 in G Minor, K. 550: I. Molto Allegro","Mozart: Symphony No. 40, Eine Kleine Nachtmusick & Other Mozart Favorites",Wolfgang Amadeus Mozart,426171,2009-07-16,0.943,0.348,0.307,0.943,7,0.115,-13.204,0,0.033,114.61,4,0.19,17,0
44,4U2W6gRK3WXhhOwXHj9dAp,"Préludes / Book 1, L.117: VIII. La fille aux cheveux de lin (Arr. for Harp)",The Girl with the Flaxen Hair,Claude Debussy,151869,2023-07-05,0.992,0.383,0.00324,0.904,3,0.0528,-38.898,0,0.0565,109.32,1,0.0392,41,0
45,19kj3m6LmRlcq5cAo9MCLR,"Orchestral Suite No. 1 in C Major, BWV 1066: I. Overture",The Glory of Bach,Johann Sebastian Bach,432591,2010-03-21,0.893,0.188,0.47,0.926,9,0.108,-8.997,0,0.031,90.868,4,0.396,39,0
46,6lNbgdP1illBUjS6blblS2,"Concerto No. 4 in F Minor, Op. 8, RV 297, ""L'inverno"" (Winter): II. Largo",Vivaldi: The Four Seasons,Antonio Vivaldi,124641,2009-07-01,0.291,0.169,0.276,0.0729,10,0.225,-12.483,1,0.0359,147.888,4,0.218,40,0
47,6AGA4j46aZkdKmH8m40uFi,"Concerto in D Minor, BWV 974: II. Adagio","J.S. Bach: Concerto in D Minor, BWV 974: II. Adagio",Johann Sebastian Bach,209230,2023-03-09,0.995,0.497,0.041,0.956,2,0.119,-28.093,0,0.0341,76.065,4,0.0399,41,0
48,52c4CNbieur0mzK51HsY6e,"Brandenburg Concerto No. 3 in G Major, BWV 1048: III. Allegro",The Glory of Bach,Johann Sebastian Bach,367097,2010-03-21,0.818,0.4,0.464,0.892,7,0.12,-11.478,1,0.0346,96.461,3,0.597,39,0
49,7f6dTUV3qkoRw3ivPhvS63,"Symphony No. 40 in G Minor, K. 550: II. Andante","Mozart: Symphony No. 40, Eine Kleine Nachtmusick & Other Mozart Favorites",Wolfgang Amadeus Mozart,430924,2009-07-16,0.977,0.335,0.0374,0.875,3,0.157,-17.5,1,0.0383,105.574,3,0.0563,39,0
50,0s29C0FZgiNTwvXO6VWtyf,"Concerto No. 3 in F Mmajor, Op. 8, RV 293, “L’autunno” (Autumn): III. Allegro",Vivaldi: The Four Seasons,Antonio Vivaldi,212558,2009-07-01,0.879,0.485,0.155,0.801,0,0.138,-13.884,1,0.0366,139.523,3,0.265,40,0
51,19qFsnQbUK8UeH0600tVBu,Endecha y Oremus,An Idea,Andrés Madariaga,140291,2022-10-22,0.991,0.57,0.0226,0.911,2,0.132,-21.319,0,0.0937,132.677,4,0.296,39,0
52,5LNvuMXFggkLMennaC0WhE,"Concerto No. 1 in E Major, Op. 8, RV 269, “La primavera” (Spring) : III. Allegro",Vivaldi: The Four Seasons,Antonio Vivaldi,241463,2009-07-01,0.774,0.282,0.231,0.575,4,0.212,-10.007,1,0.0331,98.292,4,0.207,39,0
53,5PtSjUpN1hp7dzAwBaFxcY,"Orchestral Suite No. 1 in C Major, BWV 1066: IV. Forlane",The Glory of Bach,Johann Sebastian Bach,146523,2010-03-21,0.954,0.201,0.285,0.953,0,0.0675,-10.389,1,0.0379,82.878,4,0.365,37,0
54,2xizRhme7pYeITbH1NLLGt,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",Tchaikovsky: Swan Lake,Pyotr Ilyich Tchaikovsky,166866,1976-01-01,0.911,0.136,0.164,0.916,4,0.109,-18.756,0,0.0364,58.303,4,0.071,69,0
55,1H13qxYSSuQbvUeMULo7PG,Tifa's Theme (Final Fantasy - Piano Version),Tifa's Theme (Final Fantasy - Piano Version),Adriano Spampanato,322380,2023-05-07,0.993,0.311,0.0201,0.953,5,0.09,-30.327,1,0.0533,73.566,3,0.141,41,0
56,3z0f4Cx7vad4HVaVwxcKQa,"Peer Gynt Suite No. 1, Op. 46: II. The Death Of Aase",Mythical Horizons,The City of Prague Philharmonic Orchestra,247015,2023-06-29,0.724,0.0625,0.12,0.312,11,0.13,-17.702,0,0.0419,44.109,4,0.0376,40,0
57,5IImA16Qaa7AD2iKOkC1hL,Gnossienne: No. 3 (Arr. for Viola and Harp),Gnossienne: No. 3 (Arr. for Viola and Harp),Erik Satie,181140,2023-05-03,0.954,0.306,0.0694,0.712,9,0.113,-19.345,0,0.0495,78.764,4,0.0358,39,0
58,57kvtb1ltRYbJfaE1SMqks,"Concerto No. 1 in E Major, Op. 8, RV 269, “La primavera” (Spring) : II. Largo",Vivaldi: The Four Seasons,Antonio Vivaldi,148930,2009-07-01,0.96,0.25,0.211,0.338,1,0.0966,-14.489,0,0.0399,84.775,5,0.0794,39,0
59,71WtOAqClBfELYTkIx7O8Q,"Symphony No. 40 in G Minor, K. 550: III. Minuet","Mozart: Symphony No. 40, Eine Kleine Nachtmusick & Other Mozart Favorites",Wolfgang Amadeus Mozart,280081,2009-07-16,0.984,0.457,0.173,0.913,2,0.112,-11.498,1,0.037,138.613,3,0.291,10,0
60,60VEeHBMs8iW3DS7L8gIlU,"Piano Concerto in A minor, Op. 16: II. Adagio",Mythical Horizons,The City of Prague Philharmonic Orchestra,433777,2023-06-29,0.97,0.0994,0.046,0.933,1,0.137,-23.653,1,0.0419,65.19,3,0.0348,39,0
61,3766ThQKYzY9qy1GmyxJPg,"Prélude, Fugue et Variation, Op. 18: Prélude (Arr. Bauer)",Enfleurage,Arseniy Gusev,267373,2023-04-26,0.995,0.505,0.013,0.966,11,0.076,-30.228,0,0.0427,66.385,4,0.293,39,0
62,29X0BQOOsWezPGChIyzhYp,"Brandenburg Concerto No.4 In G Major, BWV 1049: I. Allegro",The Glory of Bach,Johann Sebastian Bach,494430,2010-03-21,0.921,0.393,0.296,0.474,7,0.105,-11.613,1,0.0367,79.704,3,0.451,37,0
63,1fWW4waBEdLsJMObGKSDU5,"Concerto No. 3 in F Major, Op. 8, RV 293, “L’autunno” (Autumn): I. Allegro",Vivaldi: The Four Seasons,Antonio Vivaldi,310173,2009-07-01,0.88,0.328,0.144,0.254,5,0.145,-13.862,1,0.0377,163.079,3,0.213,38,0
64,6mdlBNh5wctRhW7FG02FgY,Winter Seoul (Orchestral Version),Winter Seoul,Jazzinuf,132441,2022-12-05,0.816,0.312,0.177,0.781,3,0.445,-20.709,1,0.0449,113.346,4,0.194,40,0
65,4BGoRNBBwsnB83cEoSXPXr,"Variaciones Sobre un Tema de F.Sor, Op. 15",An Idea,Andrés Madariaga,486024,2022-10-22,0.958,0.397,0.179,0.853,4,0.116,-17.666,0,0.0491,81.054,4,0.214,39,0
66,3xudzUTC95tl8H5RdJVovU,"Concerto No. 2 in G Minor, Op. 8, RV 315, “L’estate” (Summer): II. Adagio",Vivaldi: The Four Seasons,Antonio Vivaldi,138744,2009-07-01,0.925,0.146,0.0574,0.249,7,0.278,-22.374,0,0.0484,159.485,3,0.0952,38,0
67,7ytBifZK6AM3ePFTIMRGug,"Orchestral Suite No. 1 in C Major, BWV 1066: II. Courante",The Glory of Bach,Johann Sebastian Bach,181166,2010-03-21,0.712,0.325,0.389,0.729,9,0.0909,-10.135,0,0.0327,117.523,4,0.607,36,0
68,5RNSihyTmlBsFsQiI3GoNX,Cotton Carousel (Carrusel de Algodón),Cotton Carousel (Carrusel de Algodón),Julián Fueyo,110477,2023-06-14,0.907,0.202,0.0628,0.938,8,0.107,-29.51,1,0.0478,168.484,3,0.166,39,0
69,5y4lSt7RzBCxt5JjQUEKAp,Chôros No. 1,An Idea,Andrés Madariaga,294000,2022-10-22,0.968,0.397,0.261,0.877,4,0.157,-18.384,0,0.0472,87.723,4,0.176,39,0
70,1j3XHIB630VuwXfZz8CylK,"Serenade For Strings In E, Op. 22, B. 52: IV. Larghetto",Mythical Horizons,The City of Prague Philharmonic Orchestra,320152,2023-06-29,0.953,0.146,0.147,0.852,9,0.0964,-16.327,1,0.0377,88.922,4,0.0395,38,0
