,Unnamed: 0,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,0,3k79jB4aGmMDUQzEwa46Rz,vampire,vampire,Olivia Rodrigo,219724,2023-06-30,0.169,0.511,0.532,0.0,5,0.311,-5.745,1,0.056,137.827,4,0.322,90,1
1,1,2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Paint The Town Red,Doja Cat,231750,2023-08-04,0.269,0.868,0.538,3.34e-06,5,0.0901,-8.603,1,0.174,99.968,4,0.732,100,1
2,2,4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,227195,2023-08-25,0.554,0.429,0.453,2e-06,0,0.102,-7.746,1,0.0459,77.639,4,0.155,91,1
3,3,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Gettin' Old,Luke Combs,265493,2023-03-24,0.186,0.712,0.603,0.0,8,0.115,-5.52,1,0.0262,97.994,4,0.67,89,1
4,4,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Lover,Taylor Swift,178426,2019-08-23,0.117,0.552,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564,98,1
5,5,7K3BhSpAxZBznislvUMVtn,Last Night,One Thing At A Time,Morgan Wallen,163854,2023-03-03,0.467,0.492,0.675,0.0,6,0.142,-5.456,1,0.0389,203.759,4,0.478,86,1
6,6,2i8f4VnnBjy0yDqH2C452a,bad idea right?,bad idea right?,Olivia Rodrigo,184783,2023-08-11,0.00196,0.628,0.878,1.23e-05,9,0.0649,-3.468,1,0.0901,129.976,4,0.796,86,1
7,7,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SOS,SZA,201800,2022-12-09,0.141,0.559,0.551,0.0,5,0.11,-7.231,1,0.132,143.008,4,0.392,91,1
8,8,4rXLjWdF2ZZpXCVTfWcshS,fukumean,a Gift & a Curse,Gunna,125040,2023-06-16,0.119,0.847,0.622,0.0,1,0.285,-6.747,0,0.0903,130.001,4,0.22,95,1
9,9,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,176579,2023-05-25,0.0207,0.671,0.845,0.0,11,0.329,-4.93,0,0.048,110.056,4,0.775,95,1
10,10,2gyxAWHebV7xPYVxqoi86f,get him back!,GUTS,Olivia Rodrigo,211141,2023-09-08,0.0135,0.546,0.846,0.0,5,0.607,-5.719,1,0.181,162.043,4,0.74,92,1
11,11,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,239317,2022-08-25,0.382,0.801,0.806,0.000669,11,0.114,-5.206,1,0.0381,106.999,4,0.802,90,1
12,12,34sOdxWu9FljH84UXdRwu1,all-american bitch,GUTS,Olivia Rodrigo,165833,2023-09-08,0.254,0.43,0.692,4.17e-06,6,0.148,-4.234,1,0.0429,156.261,4,0.401,90,1
13,13,4YQImHflXSiIMXntcwPkx8,Bongos (feat. Megan Thee Stallion),Bongos (feat. Megan Thee Stallion),Cardi B,175099,2023-09-08,0.0791,0.726,0.738,0.0,0,0.0297,-4.788,1,0.355,121.953,4,0.896,83,1
14,14,741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,109750,2023-06-23,0.519,0.77,0.58,0.000127,0,0.233,-8.393,1,0.247,144.072,4,0.753,92,1
15,15,3Nl5OkkmS5DaBZvuYofpAt,the grudge,GUTS,Olivia Rodrigo,189386,2023-09-08,0.916,0.548,0.307,0.0,10,0.0828,-9.214,1,0.0781,127.923,4,0.317,88,1
16,16,0yLdNVWF3Srea0uzk55zFn,Flowers,Flowers,Miley Cyrus,200454,2023-01-13,0.0632,0.707,0.681,5.15e-06,0,0.0322,-4.325,1,0.0668,117.999,4,0.646,74,0
17,17,6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,223878,2023-05-12,0.15,0.829,0.436,0.0,3,0.0954,-8.205,1,0.327,143.031,4,0.693,84,1
18,18,5CscrLqFBgPfZR8fGtikov,making the bed,GUTS,Olivia Rodrigo,198866,2023-09-08,0.346,0.537,0.413,0.0,7,0.12,-7.736,1,0.0319,133.21,4,0.226,88,1
19,19,53dtP2iUMvaF28JZcHnFuU,logical,GUTS,Olivia Rodrigo,231907,2023-09-08,0.853,0.499,0.246,0.0,7,0.1,-8.082,1,0.0345,81.051,4,0.153,87,1
20,20,0ec7EBr0mjWO6J7TRr09bN,Religiously,Religiously,Bailey Zimmerman,178723,2023-03-17,0.426,0.57,0.67,0.0,1,0.108,-6.519,1,0.0274,140.924,4,0.593,37,0
21,21,78Du4CMFgnhdlG33gblkiP,Rich Men North of Richmond,Rich Men North of Richmond,Oliver Anthony Music,187244,2023-08-11,0.753,0.678,0.264,0.0,10,0.302,-12.384,1,0.0622,121.722,4,0.528,88,1
22,22,6QT6j7rKt7Vk3IuV2AUO9W,lacy,GUTS,Olivia Rodrigo,177212,2023-09-08,0.803,0.455,0.379,0.0,3,0.109,-7.628,1,0.0341,76.967,4,0.413,87,1
23,23,5sp71CUt0jXRNqHblPGp7b,ballad of a homeschooled girl,GUTS,Olivia Rodrigo,203369,2023-09-08,0.0557,0.385,0.873,0.0,1,0.353,-3.331,1,0.069,120.393,4,0.469,87,1
24,24,26QLJMK8G0M06sk7h7Fkse,love is embarrassing,GUTS,Olivia Rodrigo,154516,2023-09-08,0.00261,0.52,0.831,0.0,9,0.156,-3.432,1,0.0968,160.035,4,0.677,87,1
25,25,0Nfh4u0J4bajcyp5pzaWCx,Used To Be Young,Used To Be Young,Miley Cyrus,191185,2023-08-25,0.6,0.451,0.632,0.0,4,0.139,-3.843,1,0.0475,147.06,4,0.455,85,1
26,26,0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,One Thing At A Time,Morgan Wallen,177387,2023-03-03,0.492,0.656,0.757,0.0,3,0.117,-5.775,0,0.0308,139.971,4,0.429,84,1
27,27,5jUOG0aeAofL5u3UWyrtDO,Need A Favor,Need A Favor,Jelly Roll,197400,2022-12-09,0.0123,0.504,0.771,1.89e-05,6,0.078,-4.231,1,0.0319,157.985,4,0.555,40,0
28,28,3OHfY25tqY28d16oZczHc8,Kill Bill,SOS,SZA,153946,2022-12-09,0.0543,0.644,0.728,0.169,8,0.161,-5.75,1,0.0351,88.993,4,0.43,86,1
29,29,6W9l02gRsXVxzIuQC1oc1X,pretty isn’t pretty,GUTS,Olivia Rodrigo,199422,2023-09-08,0.00394,0.554,0.854,1.78e-06,2,0.0798,-4.338,1,0.0561,123.926,4,0.594,86,1
30,30,02Zkkf2zMkwRGQjZ7T4p8f,Anti-Hero,Midnights (3am Edition),Taylor Swift,200690,2022-10-22,0.133,0.638,0.634,1.23e-06,4,0.152,-6.582,1,0.0457,96.953,4,0.519,71,0
31,31,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,222369,2023-07-13,0.959,0.444,0.0911,1.05e-06,0,0.098,-17.665,1,0.0307,78.403,4,0.142,96,1
32,32,1KUZ33cOqk3X4Ezk0aZnVp,Peaches & Eggplants (feat. 21 Savage),Peaches & Eggplants (feat. 21 Savage),Young Nudy,203813,2023-02-27,0.00897,0.911,0.536,3.73e-06,4,0.111,-7.884,0,0.282,146.014,4,0.584,78,1
33,33,4pCbJC43j3gSqG6Fen6upD,Hey Driver (feat. The War and Treaty),Zach Bryan,Zach Bryan,227466,2023-08-25,0.494,0.583,0.351,0.0,0,0.368,-5.836,1,0.0306,79.014,4,0.462,86,1
34,34,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,221520,2022-12-02,0.417,0.715,0.62,0.0,1,0.0822,-6.005,0,0.0484,97.95,4,0.172,91,1
35,35,4i6cwNY6oIUU2XZxPIw82Y,Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),Taylor Swift,201493,2023-05-26,0.0623,0.615,0.616,0.0,8,0.579,-6.523,1,0.0622,89.977,4,0.0734,75,1
36,36,67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),UTOPIA,Travis Scott,246133,2023-07-28,0.012,0.557,0.774,0.0,7,0.396,-5.275,0,0.351,111.975,4,0.397,91,1
37,37,22VHOlVYBqytsrAqV8yXBK,Dial Drunk (with Post Malone),Dial Drunk (with Post Malone),Noah Kahan,213817,2023-07-18,0.121,0.667,0.613,0.0,8,0.113,-7.147,1,0.0313,112.046,4,0.681,85,1
38,38,7fesNTgTEMEH0ye8MOgEDY,teenage dream,GUTS,Olivia Rodrigo,222358,2023-09-08,0.816,0.422,0.229,0.0,0,0.109,-10.208,1,0.0362,135.82,4,0.104,85,1
39,39,6KaKmX6EIu3x2057HoZwQF,Watermelon Moonshine,Watermelon Moonshine,Lainey Wilson,208853,2022-08-12,0.47,0.739,0.413,2.51e-05,1,0.131,-6.709,1,0.0282,139.921,4,0.649,76,1
