,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,Don't You Worry Child,Swedish House Mafia,212862,2012-09-14,0.112,0.612,0.84,0.0,11,0.116,-3.145,0,0.0509,129.042,4,0.438,83,1
1,0MOiv7WTXCqvm89lVCf9C8,Million Voices - Radio Edit,Million Voices,Otto Knows,192866,2012-01-01,0.0022,0.582,0.894,0.0223,8,0.0664,-6.298,1,0.041,125.946,4,0.0694,69,0
2,5FV75TYvdP3UzXHzE2veFL,Like Home - Radio Edit,Like Home,Nicky Romero,200156,2013-03-25,0.114,0.575,0.891,5.33e-05,2,0.333,-2.802,0,0.0404,127.922,4,0.232,45,0
3,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),I'm Good (Blue),David Guetta,175238,2022-08-26,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304,91,1
4,6h5PAsRni4IRlxWr6uDPTP,More Than You Know,More Than You Know,Axwell /\ Ingrosso,203000,2017-07-28,0.0275,0.646,0.741,0.0,5,0.312,-4.973,0,0.034,123.077,4,0.571,81,1
5,2ud5ukcAgwOki5PyE53mPl,In My Mind - Axwell Radio Edit,In My Mind,Ivan Gough,185624,2012-01-30,0.0393,0.514,0.823,4.44e-06,7,0.374,-4.608,0,0.0596,128.015,4,0.368,66,0
6,2USlegnFJLrVLpoVfPimKB,Thunder,Thunder,Gabry Ponte,160000,2021-05-07,0.0342,0.67,0.896,3.21e-05,1,0.344,-4.673,1,0.058,101.216,3,0.403,79,1
7,76fqWMe0buqQoaNTIbLWmr,Mammoth,Mammoth,Dimitri Vegas & Like Mike,332289,2013-03-19,0.00105,0.645,0.85,0.302,11,0.364,-5.952,0,0.256,127.997,4,0.471,58,0
8,5pmbZWt1lYVMvZ12MSdtqF,Leave A Little Love,Leave A Little Love,Alesso,187029,2021-02-25,0.00437,0.671,0.855,0.0,7,0.131,-4.254,0,0.0375,117.98,4,0.329,61,0
9,5T4lERmPqhO2ukZoGJ5sSr,Sicko Drop,Sicko Drop,KVSH,147976,2021-03-12,0.0276,0.843,0.713,0.76,0,0.0961,-5.487,1,0.0851,123.983,4,0.298,68,0
10,1trC8L8YpawkU553ymy2zC,Calling (Lose My Mind) - Radio Edit,Calling (Lose My Mind),Sebastian Ingrosso,205440,2012-01-01,0.00864,0.416,0.849,0.000138,1,0.204,-4.909,0,0.0455,125.098,4,0.147,64,0
11,6iW38RGqdDGOofmz2HeXLW,Piece Of Your Heart - Alok Remix,Piece Of Your Heart (Alok Remix),MEDUZA,166451,2019-06-07,0.0312,0.797,0.86,0.0137,10,0.334,-4.38,0,0.0413,124.033,4,0.192,75,1
12,043bfUkTydw0xJ5JjOT91w,Don't You Worry Child,Until Now,Swedish House Mafia,403493,2012-01-01,0.0144,0.632,0.88,0.0021,2,0.118,-4.051,1,0.0463,129.007,4,0.338,62,0
13,7JKJsDkikHFCP4CTZddBf0,Bromance - Avicii's Radio Edit,Bromance (Avicii Remix),Tim Berg,218616,2010-05-31,0.199,0.681,0.804,0.899,1,0.149,-8.901,0,0.041,126.016,4,0.0377,42,0
14,3ScJy88F8KqGDfWu8XJhHx,If I Lose Myself - Alesso vs OneRepublic,Native,OneRepublic,215186,2014-01-01,0.258,0.519,0.754,3.75e-06,2,0.139,-5.689,1,0.0402,125.975,4,0.16,71,0
15,5UqCQaDshqbIk3pkhy4Pjg,Levels - Radio Edit,Levels,Avicii,199906,2011-10-28,0.0462,0.584,0.889,0.828,1,0.309,-5.941,0,0.0343,126.04,4,0.464,81,1
16,73vIOb4Q7YN6HeJTbscRx5,Miss You,Miss You,Oliver Tree,206000,2022-08-05,0.0128,0.587,0.742,0.00107,6,0.146,-6.64,0,0.0529,145.007,4,0.199,82,1
17,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),Calvin Harris,186496,2023-03-10,0.0378,0.636,0.869,0.0446,9,0.0808,-5.289,1,0.0412,143.011,4,0.306,87,1
18,20on25jryn53hWghthWWW3,Do It To It,Do It To It,ACRAZE,157890,2021-08-20,0.0209,0.854,0.806,0.0542,11,0.0703,-8.262,0,0.0886,124.927,4,0.637,81,1
19,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,Baby Don't Hurt Me,David Guetta,140017,2023-04-06,0.00126,0.602,0.91,0.000174,7,0.12,-3.404,1,0.0308,127.944,4,0.228,90,1
20,6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,167903,2020-10-30,0.0689,0.632,0.595,0.0,8,0.209,-7.644,0,0.0401,124.114,4,0.435,77,1
21,6GomT970rCOkKAyyrwJeZi,Move Your Body,Move Your Body,Öwnboss,157444,2021-10-29,0.0169,0.848,0.821,0.000403,2,0.0962,-5.408,0,0.0527,125.051,4,0.249,78,1
22,1qZMPmpD1jDcOA7gZ6TCde,One (Your Name) - Radio Edit,One (Your Name),Swedish House Mafia,163246,2010-01-01,0.0132,0.733,0.673,0.0049,9,0.16,-6.572,0,0.0333,125.061,4,0.636,69,0
23,3AjSfp5FDvwtMU9XBsbS8j,Push Up - Main Edit,Push Up (Main Edit),Creeds,139300,2023-03-31,0.209,0.767,0.83,0.836,7,0.0582,-8.78,1,0.206,75.023,4,0.187,84,1
24,2KrHwwnKAfSDdOStftigJm,Years,Years,Alesso,195480,2012-01-01,0.00234,0.37,0.823,1.91e-06,2,0.174,-6.245,1,0.0805,128.008,4,0.323,57,0
25,6RnkFd8Fqqgk1Uni8RgqCQ,Like I Do,Like I Do,David Guetta,202500,2018-02-22,0.00664,0.635,0.9,0.0145,0,0.37,-3.719,0,0.0377,127.978,4,0.15,65,0
26,65G7XDGcybJiGywSCXJiL5,Animals - Radio Edit,Animals,Martin Garrix,176120,2016-12-16,0.00137,0.593,0.914,0.445,1,0.0714,-5.351,1,0.0363,128.015,4,0.0381,56,0
27,5Sey3HgGa6KB46mlOyCClZ,Calling (Lose My Mind) - Radio Edit,Calling (Lose My Mind),Sebastian Ingrosso,205440,2012-01-01,0.00864,0.416,0.849,0.000138,1,0.204,-4.909,0,0.0455,125.098,4,0.147,12,0
28,0AhRPDuVwHkLAACbPXidb3,If I Lose Myself - Alesso vs OneRepublic,If I Lose Myself (Alesso vs OneRepublic),OneRepublic,214066,2013-01-01,0.215,0.518,0.783,9.53e-06,2,0.14,-4.88,1,0.0406,125.985,4,0.152,12,0
29,4b2tcjrG1qUkSdsqEFP2dB,Sun Is Shining,More Than You Know,Axwell /\ Ingrosso,254653,2017-07-28,0.0866,0.467,0.757,0.0,2,0.0742,-3.01,1,0.0517,131.993,4,0.383,69,0
30,5jyUBKpmaH670zrXrE0wmO,Reload - Radio Edit,Reload (Vocal Version / Radio Edit),Sebastian Ingrosso,221272,2013-01-01,0.0736,0.485,0.724,0.0,9,0.0631,-4.633,0,0.0521,128.045,4,0.433,67,0
31,0siYMEsGrzzzlWLXK5zJfS,BED,BED,Joel Corry,178087,2021-02-26,0.0142,0.671,0.782,0.00221,6,0.333,-4.593,1,0.0341,123.989,4,0.618,73,0
32,5NYejXf1mwigePilCGLjdM,Call Me A Spaceman,Spaceman,Hardwell,189375,2012-02-06,0.0172,0.582,0.878,0.0,3,0.248,-3.595,0,0.0487,127.945,4,0.35,63,0
33,46lFttIf5hnUZMGvjK0Wxo,Runaway (U & I),Pharmacy,Galantis,227073,2015-06-05,0.00711,0.506,0.805,0.00193,1,0.0856,-4.119,1,0.0469,126.008,4,0.383,76,1
34,5GjnIpUlLGEIYk052ISOw9,This Is What It Feels Like,Intense,Armin van Buuren,204360,2013-05-03,0.0391,0.551,0.833,2.77e-06,8,0.0632,-5.217,1,0.03,129.885,5,0.145,71,0
35,0lwyzp7GppQxv0Eu6wRkUo,Satisfaction,Satisfaction,David Guetta,155676,2022-08-12,0.0742,0.752,0.935,0.0352,11,0.081,-6.263,1,0.203,126.022,4,0.31,72,0
36,4BLEnHP1FInl1u3xAbgI4n,Lullaby,The Wave,R3HAB,160183,2018-08-25,0.0267,0.626,0.8,0.000133,1,0.0623,-3.988,0,0.035,127.965,4,0.26,0,0
37,0nrRP2bk19rLc0orkWPQk2,Wake Me Up,True,Avicii,247426,2013-01-01,0.0038,0.532,0.783,0.0012,2,0.161,-5.697,1,0.0523,124.08,4,0.643,87,1
38,6Pgkp4qUoTmJIPn7ReaGxL,Without You (feat. Sandro Cavazza),AVĪCI (01),Avicii,181672,2017-08-10,0.00163,0.662,0.858,0.0,2,0.0456,-4.844,1,0.0428,133.993,4,0.295,79,1
39,7CHi4DtfK4heMlQaudCuHK,Lose Control,Lose Control,MEDUZA,168387,2019-10-11,0.129,0.598,0.526,0.0,10,0.14,-8.659,0,0.0415,123.935,4,0.529,77,1
40,4ekDggjElGJX9kNSOtnbVf,Infinity - Dubdogz & Bhaskar Edit,Infinity (Dubdogz & Bhaskar Edit),Dubdogz,196000,2020-01-31,0.00412,0.723,0.57,0.00183,9,0.0862,-8.589,0,0.0429,123.979,4,0.575,67,0
41,65hRZOQkVjmBdusz1N7aOv,Save The World,Save The World,Swedish House Mafia,213337,2011-05-13,0.0144,0.507,0.665,0.0,0,0.0759,-7.598,1,0.0474,126.879,4,0.4,68,0
42,39CyGsoGoW4yayA731IP4s,We'll Be Dancing Soon,We'll Be Dancing Soon,Dimitri Vegas & Like Mike,158312,2021-04-23,0.0565,0.763,0.853,2.62e-06,9,0.149,-4.538,0,0.17,119.958,4,0.501,48,0
43,4CVOUJki8YUWol3jhLphgs,Power,Power,Hardwell,148837,2017-09-22,0.000427,0.49,0.907,0.0,5,0.116,-4.063,0,0.108,132.057,4,0.21,60,0
44,698ItKASDavgwZ3WjaWjtz,Faded,Different World,Alan Walker,212106,2018-12-14,0.0281,0.468,0.627,7.97e-06,6,0.11,-5.085,1,0.0476,179.642,4,0.159,81,1
45,3KFei4ncqdevg1vZaAZgIL,I Need You To Know,I Need You To Know,Armin van Buuren,180000,2020-07-10,0.0221,0.44,0.739,0.0,1,0.561,-5.341,0,0.0494,127.62,4,0.156,45,0
46,5xKJI9aPQhuTdTq8BrJ8fL,Ferrari,Ferrari,James Hype,185661,2022-03-15,0.0129,0.844,0.688,5.39e-05,1,0.0492,-7.879,0,0.049,124.992,4,0.695,11,0
47,7fZBQnc0zXwVybgCIrQQil,Belly Dancer,Belly Dancer,Imanbek,151475,2022-02-18,0.0582,0.845,0.797,5.57e-06,1,0.167,-4.984,1,0.139,121.985,4,0.422,82,1
48,23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,231545,2023-06-15,0.12,0.671,0.876,0.188,7,0.0823,-5.681,0,0.0352,129.998,4,0.964,92,1
49,6ho0GyrWZN3mhi9zVRW7xi,Losing It,Losing It,FISHER,248035,2018-07-13,0.00181,0.76,0.964,0.703,2,0.0975,-5.844,1,0.0577,125.003,4,0.643,74,0
50,1moFkZDqcjQNeXtyoanLHv,Blah Blah Blah,Balance,Armin van Buuren,183518,2019-10-25,0.00897,0.612,0.963,0.00378,5,0.294,-3.912,0,0.0531,138.009,4,0.179,67,0
51,6WsaEpK2Bky9ZGCCaQPyg4,Mad World,Mad World,Timmy Trumpet,153303,2020-12-04,0.233,0.54,0.892,9.35e-05,11,0.195,-4.985,1,0.11,106.594,3,0.152,69,0
52,0uIwEMEjZDGrZ3NvxK3T9F,Sweet Dreams,Sweet Dreams,Alan Walker,138819,2021-06-11,0.0239,0.767,0.816,2.68e-06,7,0.157,-4.25,1,0.035,125.031,4,0.434,40,0
53,1dt220OBbkTsYz1NLVKIaw,Call Me (with R3HAB & Timmy Trumpet),Call Me (with R3HAB & Timmy Trumpet),Gabry Ponte,178309,2022-01-14,0.00935,0.398,0.956,0.0038,2,0.142,-4.429,1,0.329,106.581,4,0.269,68,0
54,6PUIzlqotEmPuBfjbwYWOB,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),Lana Del Rey,214912,2013-02-01,0.0157,0.572,0.81,6.53e-06,1,0.13,-5.791,0,0.0558,126.052,4,0.11,76,1
55,3zU9rdflI65tK4dkkNSp77,Heroes (we could be),Forever,Alesso,210013,2015-05-26,0.0305,0.503,0.748,0.0,5,0.343,-4.124,1,0.0619,125.896,4,0.356,74,0
56,0VffaI2jwQknRrxpECYHsF,Greyhound,Until Now,Swedish House Mafia,410096,2012-01-01,0.00666,0.723,0.806,0.876,0,0.276,-4.989,1,0.0521,124.976,4,0.539,63,0
57,60wwxj6Dd9NJlirf84wr2c,Clarity,Clarity,Zedd,271426,2012-01-01,0.0398,0.509,0.781,0.0,8,0.0749,-3.48,1,0.072,128.0,4,0.176,76,1
58,3vv9phIu6Y1vX3jcqaGz5Z,Roses,Roses,The Chainsmokers,226738,2015-06-16,0.0435,0.713,0.802,0.00377,4,0.309,-7.055,1,0.0561,100.001,4,0.343,76,1
59,7IhWJM8cN04zRQ2PNM91xc,Stay Mine,Stay Mine,Timmy Trumpet,178010,2021-04-02,0.0671,0.756,0.892,0.000139,5,0.0798,-4.361,1,0.0399,124.05,4,0.362,50,0
60,59o6ojGNGJOYiVJSzC6Lsa,Memories (feat. Kid Cudi) - 2021 Remix,Memories (feat. Kid Cudi) [2021 Remix],David Guetta,162992,2021-01-08,0.108,0.709,0.783,4.1e-05,5,0.103,-5.944,0,0.0551,127.043,4,0.648,74,0
61,2prnn41CblB8B4yWACDljP,Love Tonight (David Guetta Remix Edit),Love Tonight (David Guetta Remix),Shouse,158095,2021-06-11,0.015,0.621,0.989,0.357,10,0.184,-4.225,0,0.0434,126.002,4,0.0348,79,1
62,5K6Ssv4Z3zRvxt0P6EKUAP,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),Galantis,183725,2021-05-20,0.216,0.595,0.784,0.0,1,0.0608,-4.878,1,0.102,124.111,4,0.479,76,1
63,6f3Slt0GbA2bPZlz0aIFXN,The Business,The Business,Tiësto,164000,2020-09-16,0.414,0.798,0.62,0.0192,8,0.112,-7.079,0,0.232,120.031,4,0.235,78,1
64,1NM2NUzlN9SY8z5k4ZfRJB,Ping Pong - Hardwell Remix,Ping Pong (Hardwell Remix),Armin van Buuren,180923,2014-04-28,0.00379,0.575,0.985,0.155,6,0.0471,-3.493,1,0.0747,129.956,4,0.0762,51,0
65,18rHGxr6QDiPieSTo7cUGL,Everytime We Touch - Hardwell & Maurice West Remix,Everytime We Touch (Hardwell & Maurice West Remix),Cascada,216441,2018-08-06,0.00237,0.554,0.848,0.0,5,0.185,-4.075,0,0.0745,144.996,4,0.286,66,0
66,2Q8fFORnsDE6I3RNvSLXSf,Gotta Be You,Gotta Be You,NERVO,149032,2021-01-08,0.252,0.642,0.869,0.0288,6,0.0708,-5.271,0,0.0452,123.91,4,0.376,51,0
