,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,7xghXOM3CaIK6wmR0xW1XS,Feeling You,Feeling You,Harrison Storm,201195,2018-05-25,0.664,0.644,0.501,0.164,1,0.124,-9.374,0,0.0302,103.988,4,0.158,64,0
1,6b8PHE00l7WMDNtR7OesKi,Tiny Fires,Tiny Fires,Toby Johnson,256500,2020-07-10,0.537,0.417,0.408,0.0,1,0.102,-11.596,0,0.0591,85.905,4,0.223,0,0
2,1mX2TKB6RMF5I3OtvknErL,All My Love (Acoustic),All My Love,Imaginary Future,163892,2018-04-06,0.907,0.535,0.267,0.000214,6,0.13,-11.652,1,0.0344,148.647,4,0.32,0,0
3,2XiZN924Dye5VCgl2skr5M,Girl in Calico,Grey Fidelity,Tow'rs,283099,2017-03-10,0.828,0.431,0.192,0.501,0,0.076,-13.585,1,0.0297,94.045,4,0.0388,48,0
4,3ccDb4UqLC54IoFJ8LmFoy,I'll Be Around,I'll Be Around,Garrett Kato,186954,2018-09-28,0.723,0.659,0.302,1.51e-05,1,0.111,-12.283,1,0.0296,79.024,1,0.331,62,0
5,1MlbQf2LPIHAdr9LU35IAC,Stay With Me,Paperweights,Roo Panes,196640,2015-03-04,0.85,0.651,0.132,0.00161,2,0.0871,-13.639,1,0.0382,142.086,4,0.294,29,0
6,3V78OHkbhsmOv13MbBRnxt,Almost Home,Almost Home,Luke Sital-Singh,196758,2020-02-07,0.792,0.323,0.443,0.0,7,0.129,-9.004,1,0.0406,81.313,4,0.641,28,0
7,5qErgbPbzaIHzCnT5DQk3N,Coming Home,The Ghost in Your Smile,Jarle Skavhellen,279226,2018-05-11,0.598,0.332,0.437,0.743,0,0.138,-11.485,1,0.0329,114.977,4,0.112,37,0
8,7tb0pW1o2l9LAASgSklDbG,Home,"Best Indie Folk of 2020, Vol. 2",Various Artists,190503,2020-12-27,0.767,0.543,0.397,0.0018,1,0.127,-12.214,1,0.0308,164.995,3,0.655,12,0
9,2Xi1npvIzsGN8mkcyAGM36,Nowhere To Be Found,Fluke,Frances Luke Accord,168604,2016-05-20,0.686,0.645,0.405,0.000122,4,0.103,-11.891,1,0.0331,93.052,4,0.34,24,0
10,4BrGYhbT975hwXXPBUqXNY,Girl - Acoustic,Girl,SYML,211881,2018,0.945,0.413,0.272,0.0271,1,0.112,-11.568,1,0.0317,109.687,4,0.354,59,0
11,3W7NOrpfINmBpIZoHTl5yL,All The Gold,All The Gold,Alivan Blu,174039,2020-12-17,0.904,0.652,0.407,7.9e-05,11,0.116,-12.018,1,0.0276,104.99,4,0.343,40,0
12,4fGgmcD5Ke4I4ZfJ1hZeiW,Never Stop,Never Stop,Tyler Brown Williams,249466,2020-03-20,0.678,0.256,0.365,0.0505,1,0.114,-13.588,1,0.0287,159.93,3,0.162,38,0
13,2kycJzQpJO3QRQsoY96poa,London's Song,"Best Indie Folk of 2020, Vol. 1",Various Artists,178573,2020-12-27,0.928,0.562,0.266,0.000626,4,0.0983,-14.852,1,0.0409,88.969,4,0.493,17,0
14,0pqnNiTcSnMh09MD7nFt76,Floating,"Caught Up In The Wire, No More",Tay Oskee,195324,2020-11-06,0.531,0.686,0.531,0.00755,8,0.107,-12.173,1,0.0801,99.02,4,0.268,57,0
15,0JIGBObzd2N4gv8xDeJIQz,Blue Eyes,Blue Eyes,Jordy Maxwell,237377,2017-10-27,0.657,0.429,0.42,2.87e-05,7,0.0727,-12.409,0,0.0391,114.032,4,0.471,51,0
16,6fHxhF7Txvu1tbCsk9PboQ,A Thousand Hues,Yonder,Sean Christopher,270960,2018-05-11,0.8,0.528,0.23,0.00796,11,0.107,-17.422,1,0.0336,96.3,4,0.28,6,0
17,6p4mASLulKdpNFLxQhs0ff,Real Peach,The Wilds,Henry Jamison,233289,2017-10-27,0.398,0.579,0.559,0.000206,1,0.0817,-7.338,1,0.0325,151.985,4,0.328,52,0
18,7mPtXoZqVIRHSWjWzca85k,Heartbeat,Heartbeat,SAILR,191933,2019-07-26,0.364,0.509,0.423,0.0975,11,0.101,-15.506,1,0.0285,80.063,4,0.446,45,0
19,3FnLXcAYQtVRflOL6bnT5u,Re: Stacks,Re: Stacks,Kina Grannis,311612,2022-08-12,0.944,0.781,0.196,0.0111,10,0.142,-17.31,1,0.0365,124.049,4,0.429,20,0
20,3bUecZtcTutQQtieCoXzgx,Ophelia,Quiet Man (Deluxe Edition),Roo Panes,301173,2019-05-10,0.608,0.277,0.292,0.0,11,0.103,-12.961,1,0.0292,133.772,4,0.109,33,0
21,3XDiVIBvsHPIAxWoBfPt42,Mystery,Mystery,Plàsi,222293,2019-09-20,0.829,0.568,0.0715,0.0391,1,0.112,-16.327,1,0.0352,120.269,4,0.146,37,0
22,2WMF5i6ClS9GEeM34MHEji,Man Overboard,Mexico,Ed Patrick,215413,2017-10-20,0.702,0.467,0.276,0.148,3,0.12,-14.288,1,0.0412,97.071,4,0.222,44,0
23,5g759dIqVspdTQ8PKnAiqE,Sink,Sink,Elkvilla,326002,2019-03-29,0.279,0.517,0.319,0.0477,10,0.114,-11.665,0,0.0293,123.071,4,0.116,27,0
24,5wQci5VCUjdbKnRD61XYwu,The Flood,In Deepest Blue (Bonus Track Version),Joshua Hyslop,261640,2016-10-21,0.554,0.577,0.446,0.0782,6,0.116,-11.343,1,0.0313,81.005,4,0.262,56,0
25,6GgWI2t7G0bgUzVoZDlM6R,"I Got You, Honey",EP,Ocie Elliott,161586,2018-10-19,0.965,0.554,0.232,0.525,0,0.105,-16.078,1,0.0355,149.867,4,0.0772,61,0
26,7qVx8zjFbDJVWpNz0aLQ7t,Birds and Daisies,"Best Indie Folk of 2020, Vol. 1",Various Artists,208000,2020-12-27,0.832,0.658,0.155,0.0278,7,0.0908,-16.708,1,0.0346,108.025,4,0.252,15,0
27,7LdUTzOChvJJbJPZNhJj5X,Evermore,Evermore,Hollow Coves,223846,2020-06-19,0.592,0.409,0.482,0.00448,8,0.078,-9.917,1,0.0269,78.987,4,0.335,59,0
28,2BadLekL4fUfGsxh74Yey8,I Don't Want to Let You Go,Only Pieces of the Truth,Jordan Hart,215685,2021-03-12,0.935,0.402,0.414,0.0156,9,0.102,-12.696,1,0.0272,84.002,4,0.327,45,0
29,6GqOv4UGvKMbDvpO8iqkxZ,Blood Wolf Moon,"Best Indie Folk of 2020, Vol. 1",Various Artists,180010,2020-12-27,0.806,0.445,0.338,0.0109,9,0.121,-10.928,1,0.0305,109.918,4,0.318,18,0
30,4tRt91OQSbE9eFA3RwgqSd,The Only Boy Awake,The Only Boy Awake,Meadows,163294,2016-10-21,0.61,0.52,0.48,0.0344,5,0.107,-10.288,1,0.0303,122.086,4,0.405,54,0
31,66deoxrDAEK7Qg1p0Vioxe,Love Brought Weight,Old Sea Brigade,Old Sea Brigade,185746,2016-01-22,0.699,0.366,0.327,0.363,7,0.0759,-15.603,1,0.0344,116.66,4,0.066,64,0
32,54DX8jYcXYuXhZHGp9DFQD,Another Way Around,Nothing is Lost,Luca Fogale,204017,2020-09-18,0.792,0.402,0.293,0.000177,0,0.122,-12.794,0,0.0376,107.915,4,0.25,0,0
33,4mSE4jo6Ra9by8r8XTZ7OK,Sounds Like Help,You and Me for Now,Austin Basham,207800,2018-07-27,0.652,0.623,0.444,1.62e-06,0,0.119,-8.585,1,0.0276,126.015,4,0.137,39,0
34,27J740Pp6TIPyjNsWDCfRL,Above the Water,"Best Indie Folk of 2021, Vol. 2",Various Artists,196400,2021-12-27,0.838,0.684,0.147,6.38e-05,4,0.0884,-14.216,1,0.0449,129.957,4,0.105,8,0
35,1jpMsR7pZ56267QsvCOhci,Saving Us a Riot,Volition,Phoria,257516,2016-06-03,0.723,0.475,0.137,0.129,3,0.124,-16.239,0,0.032,129.623,4,0.057,43,0
36,7CTVIpoQqwCki0Lprz0ez6,Madeleine,Madeleine,Alexander Biggs,180000,2019-10-22,0.664,0.642,0.332,8.28e-05,8,0.0847,-11.23,1,0.0348,130.153,4,0.325,47,0
37,73EWPau4HCJc4Pra7cOYs6,Love You've Lost,"Best Indie Folk of 2020, Vol. 1",Various Artists,219642,2020-12-27,0.574,0.519,0.559,0.00338,11,0.248,-11.023,0,0.0647,171.831,4,0.378,15,0
38,2YED9VicGdL1YlRW0T16oN,Saturdays,Saturdays,Simen Mitlid,208906,2019-01-11,0.9,0.573,0.153,0.00166,4,0.117,-17.318,1,0.0341,147.963,4,0.231,26,0
39,0w12cRuemDS6oZmQdPuhJx,Homeplace,"Best Indie Folk of 2020, Vol. 2",Various Artists,254394,2020-12-27,0.95,0.435,0.346,0.912,7,0.113,-13.943,1,0.0377,105.075,4,0.298,12,0
40,72jCfaysKejfSmAF001IZ0,Lake,"Best Indie Folk of 2020, Vol. 1",Various Artists,192000,2020-12-27,0.889,0.244,0.333,0.0552,0,0.0821,-12.67,1,0.036,171.176,4,0.256,16,0
41,1eTY4GvB716CI0mZkq1Ruo,I Will Love You Still,There Is Time,Titus Haug,273013,2017-04-10,0.46,0.593,0.298,1.06e-06,8,0.0825,-10.167,1,0.0274,110.016,4,0.097,27,0
