,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,Ace of Spades (Expanded Edition),Motörhead,166360,1980-11-08,4.02e-05,0.342,0.91,0.000121,4,0.0823,-7.748,1,0.0758,140.452,4,0.547,75,1
1,2RaA6kIcvomt77qlIgGhCT,Breaking the Law,British Steel,Judas Priest,153840,1980,0.024,0.362,0.961,9.35e-06,2,0.159,-5.664,1,0.0857,164.019,4,0.491,74,0
2,5V3mdRI2yQxbSsJGDPc5lD,Chop Suey!,Toxicity,System Of A Down,210240,2001-01-01,0.000353,0.42,0.929,0.000747,7,0.122,-3.899,0,0.121,127.204,4,0.3,1,0
3,01ICFoBoco3TaM5r3HthXy,Master Of Puppets,Master Of Puppets (Remastered),Metallica,515386,1986-03-03,0.000721,0.539,0.828,0.438,4,0.198,-9.11,0,0.0361,105.303,4,0.587,0,0
4,5MMnwYs0hIxkENRsbkWJ2G,Smoke On The Water - Remastered 2012,Machine Head (Remastered),Deep Purple,340742,1972-03-25,0.13,0.598,0.676,0.225,0,0.112,-9.211,1,0.0279,114.169,4,0.805,73,0
5,4Yx9Tw9dTgQ8eGCq3PRDyn,Raining Blood,Reign In Blood (Expanded),Slayer,255186,1986-01-01,0.000417,0.301,0.995,0.295,1,0.125,-4.394,0,0.159,88.15,4,0.0374,0,0
6,0P4JuEXYJmu2Q7BTtQW5nR,Fear Of The Dark - 1998 Remastered Version,Fear Of The Dark (1998 Remastered Edition),Iron Maiden,436826,1992,0.000762,0.302,0.815,0.00034,2,0.0959,-8.756,0,0.0582,109.937,4,0.251,1,0
7,59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine - XX (20th Anniversary Special Edition),Rage Against The Machine,313573,1992,0.0266,0.466,0.833,0.0,7,0.0327,-4.215,1,0.304,88.785,4,0.661,80,1
8,2KmEgiY8fQs0G6WNxtzQKr,Baba O'Riley,Who's Next (Deluxe Edition),The Who,300400,1971-08-14,0.313,0.489,0.724,0.185,5,0.287,-8.367,1,0.0352,117.292,4,0.15,0,0
9,29SyMC0plk6qw8NMF7lfRL,You Really Got Me,Kinks (Deluxe),The Kinks,131573,1964-10-02,0.493,0.573,0.939,0.0,8,0.0994,-6.441,1,0.0808,137.382,4,0.963,73,0
