,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,49h0RYK3yzWkfbVyNJjJ01,Do I Wanna Know?,Do I Wanna Know?,Arctic Monkeys,273424,2013-06-19,0.35,0.535,0.574,9.96e-05,2,0.12,-6.865,0,0.0372,84.984,4,0.445,0,0
1,3n69hLUdIsSa1WlRmjMZlW,Breezeblocks,An Awesome Wave,alt-J,227080,2012-09-18,0.096,0.615,0.658,0.000911,5,0.205,-7.299,1,0.0343,150.093,4,0.293,73,0
2,4pGqFOfzvfe6avb9kbZicC,Sweater Weather,I'm Sorry...,The Neighbourhood,240040,2012-08-07,0.15,0.695,0.615,0.000212,7,0.0879,-5.325,0,0.042,124.015,4,0.414,60,0
3,4Sfa7hdVkqlM8UW5LsSY3F,Take a Walk,Gossamer,Passion Pit,264493,2012-07-23,0.0338,0.566,0.755,0.0,11,0.315,-5.526,1,0.0368,101.006,4,0.445,67,0
4,0zHLJSfvw2QEKkWiSqMOdK,Chocolate,Music For Cars EP,The 1975,223957,2013-01-01,0.000334,0.615,0.932,0.0,11,0.394,-4.91,1,0.0561,100.074,4,0.62,29,0
5,1zuKjpp4t7BS8JPKi6mkQr,Angels,Coexist,The xx,171653,2012-09-10,0.95,0.424,0.157,0.0593,9,0.101,-18.141,1,0.0428,91.537,4,0.342,0,0
6,4c9WmjVlQMr0s1IjbYO52Z,My Number,Holy Fire,Foals,240533,2013-02-11,0.0319,0.639,0.744,0.000458,6,0.466,-8.377,0,0.0368,128.047,4,0.825,0,0
7,1VQ6FXasIrdkshSHfX6sde,Entertainment,Entertainment,Phoenix,219973,2013-02-19,0.00116,0.394,0.731,0.0459,8,0.332,-4.474,1,0.0518,75.362,4,0.479,0,0
8,1PchfarnjfYIwLhMtzyoa6,Falling,Falling,HAIM,258746,2013-01-01,0.084,0.756,0.928,1.61e-05,2,0.0838,-4.773,1,0.0722,111.992,4,0.33,0,0
9,7acHFntM5UgPUQ6jC06J9Q,Sun,Beacon (Deluxe Version),Two Door Cinema Club,187720,2012-08-31,0.00982,0.649,0.533,0.000364,4,0.111,-5.426,0,0.0284,96.973,4,0.611,0,0
10,0PL58OnFfBcKmN3O7Jxs2g,Feels Like We Only Go Backwards,Lonerism,Tame Impala,192960,2012-10-08,0.0277,0.303,0.9,0.635,2,0.11,-2.352,0,0.0574,149.508,4,0.491,0,0
11,0DyhPTzYDD7WmhyWNT9y1I,Recovery,Recovery,Frank Turner,208033,2013-01-01,0.0563,0.519,0.858,0.0,9,0.0729,-3.911,1,0.0519,155.829,4,0.843,0,0
12,6hzUhWGMBWKntf3kcv0oGu,Don't Save Me,Don't Save Me,HAIM,232682,2012-01-01,0.0129,0.71,0.772,6.37e-05,7,0.1,-6.719,1,0.0395,139.969,4,0.546,29,0
13,37E9Yatw0UtG5gawq35S0q,Global Concepts,Global Concepts - EP,Robert DeLong,278160,2012-10-30,0.356,0.733,0.801,9.37e-06,4,0.365,-3.728,0,0.195,107.961,4,0.664,0,0
14,5quxrZTYgMATSD8ocr0den,Miracle Mile,Dear Miss Lonelyhearts,Cold War Kids,180133,2013-04-02,0.00685,0.353,0.866,0.795,2,0.325,-3.163,1,0.0658,142.858,4,0.293,0,0
15,2kD2li0Gfjqh26jYNz6Z6p,Song For Zula,Muchacho,Phosphorescent,370200,2013-03-15,0.731,0.478,0.619,0.496,4,0.0518,-8.216,1,0.0376,86.005,4,0.5,0,0
16,1o22EcqsCANhwYdaNOSdwS,Tessellate,An Awesome Wave,alt-J,181400,2012-09-18,0.364,0.702,0.607,0.0271,2,0.123,-6.509,1,0.0405,116.969,4,0.436,60,0
17,66fKIbn90iaQZ0jEuurozt,Oblivion (feat. Susanne Sundfør),Oblivion (feat. Susanne Sundfør),M83,356674,2013-03-26,0.00317,0.399,0.612,0.33,4,0.127,-7.814,0,0.0358,128.167,4,0.0567,0,0
18,2ThdB23G9Rgf1ExndFGEEg,Tap Out,Comedown Machine,The Strokes,222360,2013-03-25,0.0176,0.737,0.745,0.381,9,0.306,-5.944,1,0.0351,115.989,4,0.629,55,0
19,4qx6KUiBAsuZB9ubcreapu,Matilda,An Awesome Wave,alt-J,228706,2012-05-28,0.787,0.581,0.675,0.4,2,0.116,-9.208,1,0.0299,147.982,4,0.276,0,0
20,52a6VcF23v5HB7KfDEmBHq,Carried Away,Gossamer,Passion Pit,221973,2012-07-23,0.0176,0.772,0.826,8.56e-06,0,0.383,-5.135,1,0.0344,119.995,4,0.871,57,0
21,0BmNElDPN8uGmJtCwPY5fH,Heavy Feet,Hummingbird,Local Natives,246640,2013-01-29,0.319,0.49,0.623,0.00602,4,0.0951,-7.423,1,0.0492,164.601,4,0.233,34,0
22,1LJpg66ukvsbFzW48d3YmT,Trying To Be Cool,Bankrupt! (Spotify Exclusive),Phoenix,229560,2013-04-19,0.0133,0.492,0.805,0.0147,9,0.332,-4.186,0,0.0337,113.981,4,0.412,0,0
23,1RmbJuUUXafxb6kEZigEcg,Trembling Hands,The Temper Trap,The Temper Trap,279693,2012-03-24,0.0571,0.415,0.596,0.000727,0,0.111,-5.429,1,0.0292,135.243,4,0.0428,36,0
24,6qWA7ZjufsNKhERgEwGqeA,Forever,Forever EP,HAIM,245293,2012-01-01,0.379,0.762,0.729,0.00359,0,0.0901,-7.481,1,0.0523,117.941,4,0.707,25,0
25,1rg9i5UE2qefjows4qWlOl,Kemosabe,Arc (Deluxe),Everything Everything,223733,2013-01-14,0.251,0.587,0.728,0.0104,1,0.551,-6.003,1,0.0545,173.989,4,0.707,40,0
26,33WV1lT63pq12t9jlyrxlW,The Way I Tend To Be,Tape Deck Heart (Deluxe Edition),Frank Turner,221292,2013-01-01,0.14,0.583,0.911,0.0,11,0.273,-3.579,1,0.0344,86.177,4,0.826,46,0
27,7DImv0qWPEiAYUPJ0yKuDd,Sunset,Coexist,The xx,218586,2012-09-10,0.557,0.835,0.182,0.456,2,0.113,-15.876,1,0.0762,119.98,4,0.369,0,0
28,70HzrQxN2ICmGy9xtSETyl,The Bay,We Love Green,Various Artists,290173,2012-09-10,0.587,0.803,0.47,0.091,6,0.0723,-7.232,0,0.0387,121.226,4,0.887,0,0
29,1VSYFVO0mI1XziboMAJBaO,Trying to Be Cool,Bankrupt! (Deluxe),Phoenix,228133,2013-04-23,0.0119,0.503,0.758,0.021,9,0.315,-4.648,0,0.034,113.96,4,0.491,0,0
30,2fElwIUweMzaHd3ybik1J3,Sex - EP Version,IV,The 1975,206760,2013-01-01,2.14e-05,0.352,0.963,6.71e-05,2,0.259,-4.133,1,0.0836,148.26,4,0.136,0,0
31,19Vox3Yvf2s5IUjRuYOUGv,Time To Run,Lonesome Dreams,Lord Huron,323973,2012-10-09,0.507,0.539,0.856,0.437,10,0.114,-7.939,1,0.0372,109.022,4,0.323,0,0
