,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,1ri9ZUkBJVFUdgwzCnfcYs,MAMIII,MAMIII,Becky G,226088,2022-02-10,0.0934,0.843,0.7,0.0,4,0.14,-3.563,0,0.0803,93.991,4,0.899,76,1
1,5fwSHlTEWpluwOM0Sxnh5k,Pepas,Pepas,Farruko,287120,2021-06-24,0.00776,0.762,0.766,6.98e-05,7,0.128,-3.955,1,0.0343,130.001,4,0.442,83,1
2,47EiUVwUp4C9fGccaPuUCS,DÁKITI,DÁKITI,Bad Bunny,205090,2020-10-30,0.401,0.731,0.573,5.22e-05,4,0.113,-10.059,0,0.0544,109.928,4,0.145,80,1
3,48AJSd42lXpicsGqcgopof,X ÚLTIMA VEZ,LEGENDADDY,Daddy Yankee,192477,2022-03-25,0.0789,0.812,0.855,0.000167,7,0.108,-3.725,1,0.0554,90.04,4,0.573,75,1
4,3IAfUEeaXRX9s9UdKOJrFI,Envolver,Envolver,Anitta,193805,2021-11-11,0.152,0.812,0.736,0.00254,4,0.0914,-5.421,0,0.0833,91.993,4,0.396,75,1
5,0bBd6K5X4W7t9GyXcaVOA7,Sigue,Sigue/Forever My Love,J Balvin,159386,2022-03-25,0.0515,0.889,0.641,2.75e-05,7,0.19,-4.494,1,0.0668,87.99,4,0.588,63,0
6,5rohUzwEoRsUvAA1Bf3DLo,Dos Oruguitas,Encanto (Original Motion Picture Soundtrack),Lin-Manuel Miranda,214613,2021-11-19,0.761,0.423,0.355,0.0,0,0.0915,-10.565,1,0.0454,93.788,4,0.465,68,0
7,2JPLbjOn0wPCngEot2STUS,Yonaguni,Yonaguni,Bad Bunny,206710,2021-06-04,0.276,0.644,0.648,0.0,1,0.135,-4.601,1,0.118,179.951,4,0.44,82,1
8,6ZOcbKub95XSDESsKKuH41,Desesperados,Desesperados,Rauw Alejandro,224996,2021-12-11,0.356,0.869,0.694,0.00125,1,0.0878,-3.35,0,0.0783,90.02,4,0.511,75,1
9,6TYuTMfBTU4hpXrhLsjIiV,Forever My Love,Sigue/Forever My Love,J Balvin,190893,2022-03-25,0.478,0.622,0.257,0.0,0,0.0954,-9.811,1,0.0293,79.924,4,0.174,56,0
10,4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,207301,2021-10-05,0.0889,0.639,0.703,1.78e-06,4,0.0865,-6.33,0,0.0794,169.888,4,0.138,77,1
11,65MqlYPOWReasKWcuCaOCW,REMIX,LEGENDADDY,Daddy Yankee,163680,2022-03-25,0.0323,0.819,0.781,0.0012,1,0.121,-4.879,1,0.0547,100.062,4,0.385,62,0
12,2NTMjOwveAazm5GS2wgDgw,Sus Huellas,Sus Huellas,Romeo Santos,216737,2022-02-14,0.0778,0.822,0.781,0.0,11,0.0993,-4.687,1,0.0513,126.04,4,0.887,65,0
13,3XjN0mvFkQp1FMVM9Ro5hm,RUMBATÓN,LEGENDADDY,Daddy Yankee,248768,2022-03-25,0.0471,0.685,0.909,0.0,3,0.35,-4.034,0,0.0396,95.004,4,0.922,70,0
14,2Q5q1q01KOdHt5fM00WUJ8,"Colombia, Mi Encanto",Encanto (Original Motion Picture Soundtrack),Lin-Manuel Miranda,175280,2021-11-19,0.0223,0.718,0.88,0.0,0,0.908,-7.567,1,0.11,124.007,4,0.814,64,0
15,4e4t1qNN47CzmCxFffzs4U,AGUA,LEGENDADDY,Daddy Yankee,204520,2022-03-25,0.0495,0.834,0.68,2.61e-05,5,0.0751,-4.082,0,0.0421,118.03,4,0.32,60,0
16,493Rk3iS7rs8uPfpnfm95u,El Incomprendido,El Incomprendido,Farruko,267546,2021-09-30,0.113,0.754,0.841,0.0,11,0.466,-3.19,1,0.135,128.019,4,0.541,65,0
17,5Pg4qYTcvCUBBq3jBhKq0t,HOT,LEGENDADDY,Daddy Yankee,154493,2022-03-25,0.0223,0.898,0.677,0.0,11,0.35,-6.422,0,0.243,130.027,4,0.578,67,0
18,272vIYVYzfAgHUQRUYWmhP,PARA SIEMPRE,LEGENDADDY,Daddy Yankee,210333,2022-03-25,0.0999,0.794,0.828,0.0,8,0.102,-5.883,0,0.0756,90.015,4,0.368,55,0
19,0Be7sopyKMv8Y8npsUkax2,Tacones Rojos,Tacones Rojos,Sebastian Yatra,189320,2021-10-22,0.0824,0.748,0.856,0.0,11,0.142,-3.517,0,0.0348,123.031,4,0.927,75,1
20,6lX6l7OuA3qrnIRfdsr0dw,Medallo,Hecho En Medellín,Blessd,233453,2021-10-27,0.568,0.787,0.7,0.00051,4,0.663,-4.598,0,0.0768,90.02,4,0.791,75,1
