,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,494OU6M7NOf4ICYb4zWCf5,Sugar,V (Deluxe),Maroon 5,235493,2015-05-18,0.0591,0.748,0.788,0.0,1,0.0863,-7.055,1,0.0334,120.076,4,0.884,59,0
1,5edBgVtRD0fvWk140Sl21T,Counting Stars,Native,OneRepublic,257266,2013-01-01,0.0603,0.662,0.71,0.0,1,0.119,-4.945,0,0.0364,121.979,4,0.465,22,0
2,0tKcYR2II1VCQWT79i5NrW,Thunder,Evolve,Imagine Dragons,187146,2017-06-23,0.00683,0.6,0.81,0.21,0,0.155,-4.749,1,0.0479,167.88,4,0.298,22,0
3,1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason,The Truth About Love,P!nk,242733,2012-09-18,0.346,0.778,0.547,0.000302,2,0.132,-7.273,1,0.0489,95.002,4,0.441,82,1
4,7AK0yeohL3m0N6l7GgzJhE,I Want,I Want,Hurricane on Saturn,193100,2023-04-18,0.0035,0.547,0.958,7.96e-06,9,0.132,-2.448,0,0.121,149.979,4,0.452,40,0
5,79UJTjTabqsQUhLkTJlSit,What's Up?,90s Pop Hits,Various Artists,292162,2021-02-05,0.161,0.565,0.564,0.0,2,0.114,-10.044,1,0.0292,134.358,4,0.454,39,0
6,4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,Up All Night,One Direction,199986,2012-05-25,0.009,0.726,0.787,0.0,4,0.0596,-2.494,1,0.0737,124.99,4,0.888,85,1
7,79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,199440,2017-04-20,0.381,0.857,0.8,0.0,2,0.0913,-4.035,1,0.0583,121.996,4,0.966,0,0
8,5C0LFQARavkPpn7JgA4sLk,Every Breath You Take - Remastered 2003,Synchronicity (Remastered),The Police,253250,1983-06-01,0.543,0.82,0.452,0.00294,1,0.0701,-9.796,1,0.0348,117.401,4,0.74,0,0
9,5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,Harry Styles,340706,2017-05-12,0.0275,0.516,0.595,0.0,5,0.109,-4.63,1,0.0313,119.972,4,0.222,84,1
10,7vWOMxvGXXaLKbhqBovoIV,The Scientist,Dinner Party Anthems,Various Artists,309600,2021-03-26,0.731,0.557,0.442,1.46e-05,5,0.11,-7.224,1,0.0243,146.277,4,0.213,32,0
11,2Oehrcv4Kov0SuIgWyQY9e,Demons,Night Visions (Deluxe),Imagine Dragons,175200,2012-09-04,0.202,0.327,0.71,9e-05,3,0.28,-2.928,1,0.0547,179.561,4,0.416,22,0
12,7a86XRg84qjasly9f6bPSD,We Are Young (feat. Janelle Monáe),Some Nights,fun.,250626,2012-02-21,0.02,0.378,0.638,7.66e-05,10,0.0849,-5.576,1,0.075,184.086,4,0.735,75,1
13,6cpk00i5TxCqSeqNi2HuIe,One More Night,Overexposed Track By Track,Maroon 5,219546,2012-01-01,0.0558,0.716,0.821,0.0,5,0.0844,-3.435,0,0.0314,92.997,4,0.618,78,1
14,2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,Made In The A.M. (Deluxe Edition),One Direction,192120,2015-11-13,0.109,0.73,0.703,0.0,0,0.0657,-5.672,0,0.0369,138.113,4,0.595,80,1
15,3ovjw5HZZv43SxTwApooCM,Wind Of Change,Crazy World,Scorpions,312360,1990-01-01,0.315,0.452,0.524,0.0,0,0.103,-10.108,1,0.0351,151.505,4,0.246,80,1
16,5PsUB0ISfQxRLhF5DmI5Ks,Don't Speak,Tragic Kingdom,No Doubt,263000,1995-10-10,0.24,0.522,0.707,2.04e-05,5,0.156,-7.113,0,0.0354,76.05,4,0.572,0,0
17,7wuJGgpTNzbUyn26IOY6rj,Total Eclipse of the Heart,The Very Best of Bonnie Tyler,Bonnie Tyler,267360,2009-03-26,0.145,0.431,0.723,0.0,8,0.374,-5.887,1,0.0568,130.141,4,0.19,79,1
18,1OOtq8tRnDM8kG2gqUPjAj,Beat It,Thriller 25 Super Deluxe Edition,Michael Jackson,258040,2008-02-08,0.0495,0.776,0.867,7.92e-06,3,0.197,-3.704,0,0.0479,138.827,4,0.918,78,1
19,3AJwUDP919kvQ9QcozQPxg,Yellow,Parachutes,Coldplay,266773,2000-07-10,0.00239,0.429,0.661,0.000121,11,0.234,-7.227,1,0.0281,173.372,4,0.285,90,1
20,7F3uo3304R2CTvOseU3H7u,Whatever It Takes,Evolve,Imagine Dragons,201240,2017-06-23,0.0428,0.673,0.667,0.0,1,0.127,-4.977,1,0.0312,134.938,4,0.536,0,0
21,1Vixb2G70s0J2Irf6hi8VE,Payphone,Sing Along Bangers,Various Artists,222706,2021-06-11,0.0114,0.699,0.801,0.0,11,0.327,-4.526,1,0.0342,110.014,4,0.618,59,0
22,6WrUT7FOAlDscRWU7ndmyd,Viva La Vida,Viva La Vida,Coldplay,242373,2008-06-12,0.0954,0.486,0.617,3.23e-06,5,0.109,-7.115,0,0.0287,138.015,4,0.417,48,0
23,5T7ZFtCcOgkpjxcuaeZbw0,Best Song Ever,Midnight Memories (Deluxe),One Direction,200106,2013-11-25,0.0227,0.652,0.877,0.0,1,0.0789,-2.986,1,0.0465,118.491,4,0.486,77,1
24,0zC18tC8mqlD9NPzZescWR,She Will Be Loved - Radio Mix,Whatta Man,Various Artists,257825,2021-04-23,0.0588,0.699,0.71,0.0,0,0.134,-5.525,0,0.0295,102.06,4,0.557,30,0
25,5G2c6FsfTzgYUzageCmfXY,One Thing,Up All Night,One Direction,197600,2012-05-25,0.00233,0.713,0.718,0.0,2,0.0838,-3.806,1,0.0278,126.999,4,0.656,74,0
26,0vg4WnUWvze6pBOJDTq99k,You're Beautiful,Back to Bedlam,James Blunt,209493,2005-08-08,0.633,0.675,0.479,1.76e-05,0,0.088,-9.87,0,0.0278,81.998,4,0.454,77,1
27,5xEM5hIgJ1jjgcEBfpkt2F,Complicated,Let Go,Avril Lavigne,244506,2002-06-04,0.0572,0.585,0.776,7.74e-06,5,0.3,-5.898,1,0.0459,77.987,4,0.427,80,1
28,5dRQUolXAVX3BbCiIxmSsf,Your Love,Super Hits,The Outfield,221840,1985,0.103,0.555,0.757,1.16e-06,1,0.0631,-7.868,0,0.0601,129.607,4,0.582,74,0
29,5YJfDkHLZrY0Lgu1z2jvgf,Fix You,"I Hate You, I Love You",Various Artists,295533,2021-02-12,0.164,0.209,0.417,0.00196,3,0.113,-8.74,1,0.0338,138.178,4,0.124,35,0
30,2afCBiru10AFckfOa49wIa,You & I,Midnight Memories (Deluxe),One Direction,237933,2013-11-25,0.22,0.574,0.329,0.0,1,0.0986,-6.829,1,0.0274,130.993,4,0.356,76,1
31,3xqF04FdMK7gpIPG3SPFpY,It's Time,Night Visions (Deluxe),Imagine Dragons,237986,2012-09-04,0.0168,0.657,0.885,0.0,2,0.147,-4.695,1,0.0344,105.011,4,0.869,0,0
32,1jF7IL57ayN4Ity3jQqGu0,Try,The Truth About Love,P!nk,247906,2012-09-18,0.00144,0.674,0.628,0.0,2,0.0944,-7.079,1,0.03,103.998,4,0.552,79,1
33,7wMq5n8mYSKlQIGECKUgTX,Hall of Fame,#3 Deluxe Version,The Script,202533,2012-09-10,0.0654,0.421,0.873,0.0,10,0.123,-4.343,1,0.0564,84.786,4,0.629,82,1
34,3NLnwwAQbbFKcEcV8hDItk,Perfect,Made In The A.M. (Deluxe Edition),One Direction,230333,2015-11-13,0.0598,0.647,0.823,0.0,2,0.119,-5.231,1,0.0762,99.933,4,0.396,80,1
35,54JKnDB3CzVu8wNAOM27BI,When You're Gone,The Best Damn Thing (Expanded Edition),Avril Lavigne,240493,2007-04-17,0.191,0.457,0.719,0.0,4,0.228,-3.921,0,0.0323,142.034,4,0.168,69,0
36,5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,(What's The Story) Morning Glory? [Remastered],Oasis,258773,1995-10-02,0.000452,0.378,0.896,0.0,2,0.194,-4.066,1,0.0407,174.302,4,0.469,80,1
37,1NCuYqMc8hKMb4cpNTcJbD,Another Day in Paradise - 2016 Remaster,...But Seriously (Deluxe Edition),Phil Collins,322133,1989-11-20,0.736,0.78,0.565,0.00269,3,0.063,-7.32,0,0.0306,101.967,4,0.365,76,1
38,1Jj6MF0xDOMA3Ut2Z368Bx,Time After Time,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),Cyndi Lauper,243066,2014-03-28,0.576,0.724,0.436,1.19e-06,0,0.0908,-9.321,1,0.0282,130.439,4,0.324,71,0
39,4JAf3CkbJ2RdeX0SsKr3mF,Wish You Were Here,Goodbye Lullaby,Avril Lavigne,225680,2011-03-04,0.0337,0.456,0.862,0.0,4,0.172,-3.818,1,0.05,165.991,4,0.337,0,0
40,73Qlt0XuhuYzEigjitm2ze,Cool for the Summer,Confident (Deluxe Edition),Demi Lovato,214739,2015-01-01,0.00504,0.587,0.62,0.000181,5,0.0762,-5.612,0,0.0366,114.08,4,0.286,0,0
41,19qn6oU2t0E72ENA0aWNsX,So What,Funhouse: The Tour Edition,P!nk,215160,2008,0.000304,0.535,0.888,2.17e-06,11,0.324,-3.1,1,0.0446,126.011,4,0.451,0,0
