,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,6NMtzpDQBTOfJwMzgMX0zl,SKELETONS,ASTROWORLD,Travis Scott,145588,2018-08-03,0.00146,0.46,0.686,0.0,0,0.375,-5.948,0,0.0367,148.054,4,0.252,76,1
1,33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",The Infamous,Mobb Deep,325506,1995-04-25,0.0146,0.763,0.786,0.0114,10,0.0817,-6.472,0,0.229,93.857,4,0.504,77,1
2,2Mb3zpobD0CvJGWv6NpsPy,They Reminisce Over You (T.R.O.Y.),Mecca And The Soul Brother,Pete Rock & C.L. Smooth,286693,1992-05-26,0.141,0.761,0.683,0.0,2,0.342,-10.889,1,0.164,101.787,4,0.671,62,0
3,5JIQFjb6QwuKMhip2VW0QD,No Vaseline,Straight Outta Compton (Music From The Motion Picture),Various Artists,312290,2016-01-08,0.0641,0.783,0.909,0.0,11,0.169,-5.992,0,0.345,105.736,4,0.51,55,0
4,73qINA7ccO03wxD8nsJalr,When The Music Stops,The Eminem Show,Eminem,269013,2002-05-26,0.0455,0.722,0.553,0.0,8,0.08,-3.578,0,0.118,92.996,3,0.093,61,0
5,0PV1TFUMTBrDETzW6KQulB,93 'Til Infinity,93 'til Infinity,Souls Of Mischief,286440,1993-02-13,0.125,0.59,0.672,1.04e-06,1,0.147,-11.792,1,0.412,206.247,4,0.688,72,0
6,7dFGkZbmm6cVlI28bfMaWE,Righteous Minds,1999,Joey Bada$$,224042,2012-06-12,0.262,0.809,0.638,0.0,8,0.453,-5.646,0,0.28,94.893,4,0.608,71,0
7,7uWVT3UkCAZyANvv0bdyQn,These Walls,To Pimp A Butterfly,Kendrick Lamar,300973,2015-03-16,0.11,0.752,0.489,3.57e-06,1,0.202,-5.233,1,0.137,108.005,4,0.373,67,0
8,7G3lxTsMfSx4yarMkfgnTC,The World Is Yours,Illmatic,Nas,290573,1994-04-19,0.274,0.678,0.794,1.68e-06,10,0.124,-6.186,0,0.14,87.374,4,0.54,70,0
9,3DK6m7It6Pw857FcQftMds,Runaway,My Beautiful Dark Twisted Fantasy,Kanye West,547733,2010-11-22,0.219,0.374,0.568,0.00219,1,0.513,-3.825,0,0.109,84.733,4,0.111,80,1
10,74tLlkN3rgVzRqQJgPfink,Money Trees,"good kid, m.A.A.d city",Kendrick Lamar,386906,2012,0.0703,0.716,0.531,0.0,7,0.224,-7.355,1,0.122,71.994,4,0.344,82,1
11,51EC3I1nQXpec4gDk0mQyP,90210 (feat. Kacy Hill),Rodeo,Travis Scott,339066,2015-09-04,0.113,0.402,0.526,8.33e-06,9,0.105,-6.741,0,0.0904,81.404,4,0.312,80,1
12,5KUNwkaNf8l5A9sXZhiCgI,Rapp Snitch Knishes feat. Mr. Fantastik,MM...FOOD,MF DOOM,172893,2004-11-16,0.327,0.728,0.832,0.0,7,0.504,-6.827,1,0.267,95.051,4,0.825,79,1
13,4mmkhcEm1Ljy1U9nwtsxUo,Through The Wire,The College Dropout,Kanye West,221226,2004-02-10,0.00865,0.571,0.739,5.21e-06,7,0.158,-6.11,1,0.247,83.089,4,0.66,76,1
14,0eEXcw3JLVXcRxYrVYMy68,Electric Relaxation,The Anthology,A Tribe Called Quest,226133,1999-10-26,0.184,0.866,0.534,0.266,11,0.0929,-9.201,1,0.229,98.243,4,0.841,69,0
15,4INDiWSKvqSKDEu7mh8HFz,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,Life After Death (2014 Remastered Edition),The Notorious B.I.G.,257399,1997-03-04,0.0128,0.845,0.884,2.1e-06,6,0.203,-4.506,0,0.0759,104.536,4,0.904,76,1
16,7Ks4VCY1wFebnOdJrM13t6,Wesley's Theory,To Pimp A Butterfly,Kendrick Lamar,287360,2015-03-16,0.359,0.509,0.787,2.76e-05,7,0.26,-6.754,1,0.265,114.449,4,0.507,71,0
17,4pNT8XTKWb2vhcsqwzdXCT,Survival Tactics,1999,Joey Bada$$,202784,2012-06-12,0.428,0.53,0.843,0.0,1,0.164,-2.271,1,0.39,199.946,4,0.919,68,0
18,7LR85XLWw2yXqKBSI5brbG,Run This Town,The Blueprint 3,JAY-Z,267520,2009-09-08,0.281,0.632,0.924,0.0,1,0.263,-1.802,1,0.29,86.844,4,0.441,79,1
19,3xby7fOyqmeON8jsnom0AT,Nightcrawler (feat. Swae Lee & Chief Keef),Rodeo,Travis Scott,321560,2015-09-04,0.00134,0.522,0.728,0.0,3,0.132,-3.801,0,0.0323,124.045,4,0.18,73,0
20,4IYKjN1DrYzxKXt0umJqsG,I Got 5 On It,Operation Stackola,Luniz,253533,1995-07-04,0.209,0.6,0.706,0.0,10,0.125,-7.899,0,0.361,173.926,4,0.58,75,1
21,5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,The College Dropout,Kanye West,223506,2004-02-10,0.149,0.657,0.734,0.0,8,0.139,-4.832,0,0.484,91.03,4,0.434,81,1
22,2EMWP3NJeivpl0Seic7Oqz,HAZARD DUTY PAY!,HAZARD DUTY PAY!,JPEGMAFIA,157169,2022-02-23,0.038,0.615,0.951,0.0,8,0.182,0.915,1,0.169,121.575,4,0.6,53,0
23,7J2gyNghNTzl4EsLhXp01Q,infinity (888) - feat. Joey Bada$$,?,XXXTENTACION,176590,2018-03-16,0.274,0.562,0.579,0.0,10,0.102,-6.788,0,0.484,84.143,4,0.577,73,0
24,4X5f3vT8MRuXF68pfjNte5,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,233786,2013,0.0239,0.853,0.693,0.0,1,0.11,-6.87,1,0.275,95.967,4,0.662,77,1
25,5XFoaqV1Z8XaLJidchVWhh,love.,The Boy Who Flew To The Moon (Vol. 1),Kid Cudi,328573,2022-07-08,0.146,0.574,0.736,1.66e-05,5,0.407,-4.743,1,0.0465,138.501,4,0.344,66,0
26,7nYvUtkQMx1v80S2FH2s9J,Regulate,Regulate… G Funk Era,Warren G,248866,1994-06-07,0.304,0.849,0.521,1.65e-06,11,0.115,-12.999,0,0.216,95.265,4,0.763,75,1
27,3qX1dqmDdmMvvfMVfsx4Bh,m.A.A.d city,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,350120,2012-10-22,0.0538,0.487,0.729,4.07e-06,2,0.44,-6.815,1,0.271,91.048,4,0.217,67,0
28,3gJDgenxLephg09x86IxPs,TEMPTATION,ALL-AMERIKKKAN BADA$$,Joey Bada$$,244197,2017-04-07,0.397,0.775,0.707,0.0,10,0.874,-5.339,0,0.152,104.979,4,0.78,69,0
29,35VUTs0LoeWGp69L0jyHOZ,"Nuthin' But A ""G"" Thang",R&B Classics Collection,Various Artists,238560,2008-08-04,0.0063,0.799,0.693,0.0,11,0.126,-8.828,0,0.284,94.65,4,0.707,40,0
30,1Z2FvDFZSDQ23s4BDqpWqZ,"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,723573,2012-10-22,0.303,0.654,0.753,8.08e-05,11,0.13,-7.556,0,0.395,110.722,5,0.371,60,0
31,1q8DwZtQen5fvyB7cKbShC,Walkin,Melt My Eyez See Your Future,Denzel Curry,280000,2022-03-25,0.134,0.557,0.654,0.0,11,0.291,-7.201,0,0.196,135.983,4,0.386,70,0
32,14I61w6cyYUHiV2n28IYdP,Otis,Watch The Throne,JAY-Z,178213,2011-08-08,0.552,0.754,0.631,0.0,7,0.5,-4.751,0,0.307,94.577,4,0.432,70,0
33,3xKsf9qdS1CyvXSMEid6g8,Pink + White,Blonde,Frank Ocean,184516,2016-08-20,0.667,0.545,0.545,5.48e-05,9,0.417,-7.362,1,0.107,159.94,3,0.549,89,1
34,7jdzEA44GdSp4laVCF3Ztw,Best Friend,Get Rich Or Die Tryin'- The Original Motion Picture Soundtrack,Various Artists,251546,2005-01-01,0.395,0.549,0.636,0.0,10,0.0974,-3.923,0,0.376,182.363,4,0.661,68,0
35,0utlOiJy2weVl9WTkcEWHy,Neighbors,4 Your Eyez Only,J. Cole,216520,2016-12-09,0.319,0.898,0.283,0.000383,6,0.11,-12.335,0,0.356,138.97,4,0.469,74,0
36,0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,218146,2018-04-27,0.124,0.585,0.52,7.01e-05,5,0.131,-6.136,0,0.0712,159.801,4,0.129,85,1
37,0a4SMs889NwP8oWI7Vemle,LOOOVE (feat. Kid Cudi),UTOPIA,Travis Scott,226715,2023-07-28,0.0712,0.678,0.739,0.0,3,0.388,-4.358,1,0.044,110.967,4,0.108,80,1
38,7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,205040,2018-05-25,0.0609,0.854,0.569,0.0816,5,0.1,-8.151,0,0.106,80.015,4,0.294,83,1
39,3djNBlI7xOggg7pnsOLaNm,California Love - Original Version,The Best of 2Pac,2Pac,284480,2007-12-03,0.0292,0.761,0.847,2.26e-06,7,0.39,-3.068,1,0.0417,91.519,4,0.765,63,0
40,4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,Watch The Throne (Deluxe),JAY-Z,219333,2011-08-08,0.127,0.789,0.858,0.0,1,0.349,-5.542,1,0.311,140.022,4,0.775,74,0
41,1ZHYJ2Wwgxes4m8Ba88PeK,Monster,My Beautiful Dark Twisted Fantasy,Kanye West,378893,2010-11-22,0.00244,0.628,0.692,0.0129,2,0.668,-5.64,1,0.202,124.887,5,0.0963,72,0
42,6AHNkRbVzkh95xilnYzDT7,Holy Ghost (feat. Joe Fox),AT.LONG.LAST.A$AP,A$AP Rocky,191200,2015-05-26,0.127,0.514,0.78,0.0,10,0.349,-6.491,0,0.198,75.549,4,0.331,58,0
43,0M9ydKzuF3oZTfYYPfaGX1,Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos,343150,2017-01-27,0.0611,0.926,0.666,0.0,11,0.123,-5.314,1,0.244,127.079,4,0.168,74,0
44,1hz7SRTGUNAtIQ46qiNv2p,"GONE, GONE / THANK YOU",IGOR,"Tyler, The Creator",375386,2019-05-17,0.216,0.518,0.492,0.0012,10,0.146,-8.436,0,0.193,78.848,4,0.471,77,1
45,5lzkZ4SfaAhAHTZArLdX2K,Take Care,Take Care (Deluxe),Drake,277373,2011-11-15,0.028,0.49,0.518,2.1e-05,0,0.0893,-10.366,0,0.35,117.364,4,0.293,49,0
46,1Jo3u8eXp8xobbrvq0FIi9,Gasoline Dreams,Stankonia,Outkast,214706,2000-10-31,0.0383,0.729,0.959,0.0,2,0.312,-2.726,1,0.234,95.082,4,0.508,47,0
47,3u9fHuAtjMY1RW2mZfO4Cf,Gangsta's Paradise (feat. L.V.),Gangsta's Paradise,Coolio,241933,1995-11-07,0.0372,0.641,0.63,0.0,8,0.4,-6.393,1,0.0521,79.955,4,0.415,0,0
48,01Lr5YepbgjXAWR9iOEyH1,Love Sosa,Finally Rich,Chief Keef,246213,2012-01-01,0.0361,0.772,0.413,0.0,0,0.111,-8.193,0,0.089,131.965,4,0.211,82,1
49,4AFsRbaLKRWo3dDtjDFA2V,Me and Your Mama,"""Awaken, My Love!""",Childish Gambino,379226,2016-12-02,0.0104,0.545,0.442,0.0271,5,0.0664,-12.111,1,0.0352,118.073,3,0.242,82,1
50,6Bg7MznA9X0dIhlAsLyBYj,Ghost Town,ye,Kanye West,271386,2018-06-01,0.0954,0.572,0.543,0.0,7,0.329,-4.251,0,0.0287,83.364,4,0.329,0,0
51,1wHZx0LgzFHyeIZkUydNXq,Antidote,Rodeo,Travis Scott,262693,2015-09-04,0.00767,0.713,0.526,0.000148,1,0.124,-5.046,1,0.032,131.05,4,0.131,74,0
52,5g9lS8deSIxItFBmZRC4vN,Ambitionz Az A Ridah,All Eyez On Me,2Pac,278386,1996-02-13,0.00239,0.801,0.91,0.000891,2,0.0737,-6.566,1,0.225,87.277,4,0.805,79,1
53,5bBUDJUfGcG7eFy3Bf4fXv,untitled 08 | 09.06.2014.,untitled unmastered.,Kendrick Lamar,235506,2016-03-04,0.25,0.85,0.524,2.46e-06,11,0.114,-9.375,0,0.204,120.004,4,0.686,64,0
54,6RUpJeXT6U4SPEafnr9Wr7,Where The Hood At,Grand Champ,DMX,286266,2003-01-01,0.151,0.537,0.948,0.0,8,0.356,-3.063,1,0.355,186.151,4,0.792,70,0
55,3dgQqOiQ9fCKVhNOedd2lf,Started From the Bottom,Nothing Was The Same (Deluxe),Drake,174120,2013-01-01,0.0331,0.794,0.523,0.0,8,0.156,-7.829,1,0.161,86.307,4,0.56,68,0
56,6MF4tRr5lU8qok8IKaFOBE,Under The Sun (with J. Cole & Lute feat. DaBaby),Revenge Of The Dreamers III,Dreamville,202040,2019-07-05,0.511,0.691,0.64,0.0,0,0.409,-6.441,1,0.369,138.672,4,0.163,75,1
57,6lmMjq57ysbPyknJZjKuWI,Houston Old Head,LIVE.LOVE.A$AP,A$AP Rocky,258092,2011-10-31,0.0633,0.425,0.804,0.0178,4,0.302,-5.638,1,0.221,147.995,4,0.275,58,0
58,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,Travis Scott,312820,2018-08-03,0.00513,0.834,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,4,0.446,85,1
59,21O0XXPEWPtePt5RMY93Ob,All Caps,Madvillainy,Madvillain,130479,2004-03-24,0.266,0.358,0.889,1.46e-05,1,0.172,-8.045,1,0.335,85.61,4,0.666,72,0
60,5YEOzOojehCqxGQCcQiyR4,Panda,New English,Desiigner,246761,2016-06-26,0.028,0.576,0.766,1.68e-06,10,0.366,-4.943,0,0.449,144.833,4,0.236,70,0
61,3WTWh2WDk4j8GUCGj4xfOd,Skate,An Evening With Silk Sonic,Bruno Mars,203122,2021-11-12,0.037,0.708,0.598,0.0,5,0.17,-8.365,1,0.0291,112.027,4,0.698,63,0
62,0WtDGnWL2KrMCk0mI1Gpwz,Redbone,"""Awaken, My Love!""",Childish Gambino,326933,2016-12-02,0.174,0.745,0.353,0.00662,1,0.118,-10.614,1,0.0983,160.111,4,0.598,84,1
