,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
0,4k9EkhkFZY8Bk41Qi0Ob7P,The Choice Is Yours (Revisited),A Wolf In Sheep's Clothing,Black Sheep,243200,1991-01-01,0.0336,0.867,0.679,1.59e-06,10,0.0742,-12.028,0,0.207,101.293,4,0.68,58,0
1,2PvqEwpuv84hjxLs82uYLv,Express Yourself,Straight Outta Compton (Expanded Edition),N.W.A.,265000,1988-08-08,0.0369,0.849,0.627,0.0,3,0.184,-9.616,0,0.305,95.106,4,0.961,0,0
2,5K8qwhQQSAj9ebIvlNJY8q,Tennessee - Remastered 2001,Classic Masters,Arrested Development,272706,2002-01-01,0.0284,0.815,0.851,0.0,1,0.343,-3.667,0,0.178,99.915,4,0.674,35,0
3,6DOyEhN7AorM5fqBWzfkpQ,Paul Revere,Licensed To Ill,Beastie Boys,220914,1986-11-15,0.018,0.894,0.36,0.0,6,0.252,-19.943,0,0.889,91.707,4,0.506,0,0
4,5g52MCuuPbV4vsKKMTZl0q,The Message (Re-Recorded / Remastered),White Lines,Grandmaster Flash & The Furious Five,264614,1984,0.336,0.943,0.803,0.0,7,0.106,-3.972,0,0.182,101.369,4,0.836,22,0
5,2g4SumkFZpHOypfF5xng9Z,Music (feat. Marvin Gaye),Music,Erick Sermon,223133,2001-09-12,0.224,0.896,0.457,1.47e-06,8,0.0832,-9.075,0,0.0777,100.043,4,0.921,42,0
6,37HqLVODvnooEx6KqcyGns,Juicy,Ready To Die,The Notorious B.I.G.,302666,1994,0.486,0.892,0.833,0.0,9,0.218,-4.697,1,0.253,96.061,4,0.786,0,0
7,67ncYmW29pNJJY2yXuLPwT,You Know How We Do It,Greatest Hits,Ice Cube,232786,2001-12-04,0.0231,0.743,0.651,0.00388,10,0.0851,-6.269,0,0.0343,92.876,4,0.543,67,0
8,6TOBl61dNBIhqmP3Vb7B9b,I Got 5 On It,Snoop Dogg Presents: The West Coast Blueprint,Snoop Dogg,252773,2010-02-23,0.22,0.554,0.79,0.0,10,0.117,-5.841,0,0.386,174.144,4,0.626,0,0
9,5Ik3n2wrbDBcEi4CtzpVCr,DWYCK,Full Clip: A Decade Of Gang Starr,Gang Starr,242266,1999-07-13,0.00406,0.919,0.734,8.13e-06,7,0.0884,-7.492,1,0.306,98.98,4,0.594,25,0
10,7Ml5yFM5H8gCQ4U4NSe4Bc,Work It (feat. 50 Cent) - Remix,Under Construction,Missy Elliott,304560,2002-11-11,0.061,0.842,0.748,0.0,1,0.0877,-5.361,1,0.279,101.753,4,0.622,47,0
11,4Tyv7nnNTHC6mR1pTubIrw,Drop It Like It's Hot,Drop It Like It's Hot (International Version),Snoop Dogg,270466,2004-01-01,0.188,0.912,0.553,0.0,1,0.102,-4.716,1,0.205,91.991,4,0.62,0,0
12,0qOcGXEuXu66OQwWRyqFxD,Award Tour (feat. Trugoy The Dove),The Anthology,A Tribe Called Quest,207960,1999-10-26,0.00209,0.814,0.695,0.000126,6,0.161,-6.561,0,0.237,97.182,4,0.505,39,0
13,0f1yzIIGD8k32DNVeEn6jb,You Gots To Chill,Strictly Business,EPMD,261840,1988-06-07,0.089,0.882,0.814,0.0,8,0.16,-5.214,0,0.424,99.689,4,0.854,52,0
14,21REQ1bCUWphT2QK3bLWYQ,Sure Shot,Ill Communication,Beastie Boys,199666,1994-05-23,0.388,0.692,0.799,0.0,1,0.301,-7.924,1,0.164,97.978,4,0.549,62,0
15,0kSkSJGSbPIxW6jRmOmS5d,Nuthin' but a G Thang,"Best of Old School Hip-Hop, Vol. 1",Various Artists,255089,1998-01-01,0.00701,0.797,0.712,0.0,11,0.308,-8.581,0,0.281,94.639,4,0.738,0,0
16,5gsY63Dq5ht0LEvydhj9lA,Peter Piper,Raising Hell,Run–D.M.C.,204133,1986-05-15,0.0113,0.873,0.62,0.000121,7,0.0925,-8.812,1,0.293,105.332,4,0.574,54,0
17,3ADvHtuGfkygTJ6V0n8sYQ,Ladies First (feat. Monie Love),Rhino Hi-Five: Queen Latifah,Queen Latifah,235519,2006-08-22,0.0477,0.839,0.899,0.0,11,0.0813,-5.79,1,0.266,107.34,4,0.833,0,0
18,4WxQGUmWBRNovxlF2g8Xdv,The Humpty Dance,Sex Packets,Digital Underground,391693,1990,0.0341,0.813,0.693,0.0,10,0.121,-8.0,0,0.266,103.508,4,0.618,0,0
19,2MuJbBWAVewREJmB8WdGJ3,It Was A Good Day,The Essentials,Ice Cube,260306,2008-01-01,0.135,0.78,0.754,0.034,5,0.0467,-5.377,0,0.0952,82.394,4,0.81,59,0
20,3eaoHvdH4JjJ9YlhzOAR5S,The Seed (2.0),Phrenology (International Version),The Roots,267933,2002-11-26,0.039,0.758,0.957,0.0,7,0.133,-2.282,1,0.0357,111.119,4,0.966,0,0
21,0qQkURBRdv5f8Y77K763S9,Rappers Delight,Ultimate 70's Classic Hits,The Greatest Hit Machine,296488,2009-12-22,0.0163,0.934,0.711,4.18e-06,7,0.0351,-10.321,1,0.145,109.992,4,0.963,12,0
22,2th1x0DE2WRSh76N9w32oj,Party Up,The Definition Of X: Pick Of The Litter,DMX,272920,2007-01-01,0.0894,0.72,0.952,0.0,3,0.21,-1.523,0,0.23,100.952,4,0.557,0,0
23,3Yxmpx64AdWAzG3qAD4Dty,It Takes Two,Profilin': The Hits,Various Artists,301893,1990-01-01,0.0143,0.767,0.776,0.0,2,0.326,-8.915,1,0.144,111.686,4,0.608,55,0
24,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,2001,Dr. Dre,161506,1999-11-16,0.0281,0.922,0.909,0.0,10,0.0856,-2.429,0,0.27,95.295,4,0.309,81,1
